Wtorek,25,Sierpień,2026,06:34:55:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

Znacznik,Grupa A:, Zatrzymany,,,,Grupa B:,'002,,,,Grupa C:,'033
,,,,,,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,,,,,,222.95,2144,38.4,3.09,438.6,222.59,-30.9,1.37, , 
,,,,,,223.65,2112,38.4,3.09,438.6,223.30,-31.3,1.33, , 
,,,,,,224.36,2112,38.4,3.09,438.6,224.01,-31.6,1.33, , 
,,,,,,225.05,2112,40.0,3.09,459.0,224.70,-31.3,1.37, , 
,,,,,,225.74,2112,40.0,3.09,459.0,225.39,-31.6,1.33, , 
,,,,,,226.44,2112,44.3,4.12,499.8,226.08,-31.3,1.41, , 
,,,,,,227.12,2112,47.1,4.12,520.2,226.78,-30.1,1.45, , 
,,,,,,227.83,2112,45.9,4.12,520.2,227.48,-30.9,1.45, , 
,,,,,,228.50,2112,45.9,4.12,520.2,228.16,-30.1,1.48, , 
,,,,,,229.20,2144,45.9,4.12,520.2,228.86,-30.1,1.48, , 
,,,,,,229.89,2144,44.3,4.12,499.8,229.55,-30.1,1.48, , 
,,,,,,230.56,2144,44.3,4.12,499.8,230.24,-30.5,1.48, , 
,,,,,,231.24,2144,44.3,4.12,499.8,230.89,-30.1,1.45, , 
,,,,,,231.93,2144,44.3,4.12,499.8,231.59,-30.5,1.41, , 
,,,,,,232.62,2144,44.3,4.12,499.8,232.28,-30.1,1.45, , 
,,,,,,233.29,2144,44.3,4.12,499.8,232.96,-30.5,1.45, , 
,,,,,,233.97,2144,44.3,4.12,499.8,233.63,-30.1,1.41, , 
,,,,,,234.65,2144,44.3,4.12,499.8,234.29,-30.1,1.41, , 
,,,,,,235.32,2176,44.3,4.12,479.4,234.99,-29.7,1.41, , 
,,,,,,236.01,2144,28.2,3.09,357.0,235.64,0.0,1.21, , 
,,,,,,236.69,2144,29.4,3.09,357.0,236.35,0.0,0.12, , 
,,,,,,237.38,2112,29.4,3.09,377.4,237.03,-22.7,0.90, , 
,,,,,,238.06,2112,36.9,3.09,438.6,237.73,-30.1,1.21, , 
,,,,,,238.76,2112,38.4,3.09,438.6,238.40,-32.0,1.45, , 
,,,,,,239.48,2112,44.3,4.12,499.8,239.12,-25.8,1.60, , 
,,,,,,240.16,2112,47.1,4.12,550.8,239.82,-25.4,1.60, , 
,,,,,,240.85,2112,34.1,3.09,418.2,240.50,-19.1,1.68, , 
,,,,,,241.51,2080,32.5,3.09,397.8,241.18,0.0,1.09, , 
,,,,,,242.19,2112,34.1,3.09,397.8,241.85,-13.7,0.66, , 
,,,,,,242.86,2080,38.4,3.09,459.0,242.51,-14.5,1.29, , 
,,,,,,243.56,2080,40.0,3.09,459.0,243.20,-15.6,1.45, , 
,,,,,,244.24,2080,40.0,3.09,459.0,243.89,-16.8,1.48, , 
,,,,,,244.92,2080,40.0,3.09,459.0,244.59,-16.8,1.52, , 
,,,,,,245.62,2080,40.0,3.09,459.0,245.28,-16.8,1.48, , 
,,,,,,246.32,2080,40.0,3.09,459.0,245.98,-16.4,1.52, , 
,,,,,,247.04,2080,41.2,3.09,459.0,246.69,-16.4,1.48, , 
,,,,,,247.71,2080,45.9,4.12,499.8,247.38,-15.6,1.48, , 
,,,,,,248.37,2080,51.8,5.15,571.2,248.04,-14.8,1.52, , 
,,,,,,249.08,2112,56.1,5.15,612.0,248.72,-13.7,1.52, , 
,,,,,,249.77,2112,56.1,5.15,612.0,249.42,-12.1,1.45, , 
,,,,,,250.46,2144,56.1,5.15,612.0,250.11,-11.3,1.45, , 
,,,,,,251.17,2176,54.5,5.15,612.0,250.81,-11.3,1.45, , 
,,,,,,251.87,2176,54.5,5.15,612.0,251.52,-10.5,1.45, , 
,,,,,,252.56,2208,54.5,5.15,591.6,252.21,-10.5,1.37, , 
,,,,,,253.24,2208,53.3,5.15,591.6,252.89,-9.0,1.45, , 
,,,,,,253.91,2208,53.3,5.15,591.6,253.57,-19.1,1.45, , 
,,,,,,254.56,2240,53.3,5.15,591.6,254.23,-19.9,1.37, , 
,,,,,,255.24,2240,53.3,5.15,591.6,254.91,-19.5,1.41, , 
,,,,,,255.91,2272,53.3,5.15,571.2,255.57,-19.9,1.41, , 
,,,,,,256.57,2272,53.3,5.15,571.2,256.23,-20.7,1.41, , 
,,,,,,257.26,2304,51.8,5.15,571.2,256.91,-20.7,1.41, , 
,,,,,,257.92,2304,48.6,5.15,550.8,257.60,-19.9,1.48, , 
,,,,,,258.61,2304,42.7,4.12,479.4,258.26,-21.5,1.45, , 
,,,,,,259.26,2304,42.7,4.12,479.4,258.93,-21.9,1.41, , 
,,,,,,259.95,2304,44.3,4.12,479.4,259.59,-23.4,1.33, , 
,,,,,,260.63,2304,44.3,4.12,479.4,260.31,-23.8,1.45, , 
,,,,,,261.34,2304,42.7,4.12,479.4,260.99,-24.2,1.41, , 
,,,,,,262.04,2336,44.3,4.12,479.4,261.68,-25.0,1.41, , 
,,,,,,262.71,2304,44.3,4.12,479.4,262.38,-25.0,1.41, , 
,,,,,,263.37,2336,42.7,4.12,479.4,263.03,-25.0,1.48, , 
,,,,,,264.04,2336,41.2,4.12,479.4,263.70,-25.4,1.48, , 
,,,,,,264.70,2336,42.7,4.12,479.4,264.36,-25.0,1.48, , 
,,,,,,265.36,2336,42.7,4.12,479.4,265.02,-25.4,1.45, , 
,,,,,,266.03,2336,42.7,4.12,479.4,265.69,-25.8,1.41, , 
,,,,,,266.69,2336,42.7,4.12,479.4,266.36,-25.4,1.41, , 
,,,,,,267.33,2336,42.7,4.12,479.4,267.01,-25.8,1.37, , 
,,,,,,268.01,2336,42.7,4.12,479.4,267.66,-25.0,1.45, , 
,,,,,,268.70,2336,42.7,4.12,479.4,268.36,-24.6,1.48, , 
,,,,,,269.41,2336,41.2,4.12,479.4,269.07,-24.6,1.45, , 
,,,,,,270.12,2336,41.2,4.12,479.4,269.77,-24.6,1.45, , 
,,,,,,270.80,2336,41.2,4.12,459.0,270.47,-25.0,1.45, , 
,,,,,,271.45,2336,41.2,4.12,479.4,271.13,-24.6,1.45, , 
,,,,,,272.14,2336,41.2,4.12,479.4,271.77,-25.0,1.41, , 
,,,,,,272.82,2336,38.4,4.12,438.6,272.48,-24.6,1.41, , 
,,,,,,273.50,2336,38.4,4.12,438.6,273.17,-25.0,1.37, , 
,,,,,,274.18,2336,40.0,4.12,459.0,273.83,-25.4,1.37, , 
,,,,,,274.86,2336,40.0,4.12,459.0,274.53,-25.0,1.41, , 
,,,,,,275.55,2336,38.4,4.12,438.6,275.19,-25.4,1.45, , 
,,,,,,276.19,2304,38.4,4.12,438.6,275.87,-25.8,1.48, , 
,,,,,,276.87,2336,38.4,4.12,438.6,276.54,-25.4,1.48, , 
,,,,,,277.55,2304,40.0,4.12,459.0,277.22,-25.0,1.48, , 
,,,,,,278.22,2336,38.4,4.12,459.0,277.89,-24.2,1.48, , 
,,,,,,278.89,2304,38.4,4.12,438.6,278.56,-25.4,1.33, , 
,,,,,,279.56,2336,38.4,4.12,438.6,279.24,-25.8,1.37, , 
,,,,,,280.24,2304,29.4,2.06,357.0,279.90,-25.8,1.41, , 
,,,,,,280.90,2304,28.2,2.06,357.0,280.56,-28.1,1.37, , 
,,,,,,281.58,2304,28.2,2.06,357.0,281.22,-28.9,1.41, , 
,,,,,,282.29,2304,28.2,2.06,357.0,281.93,-29.3,1.45, , 
,,,,,,283.02,2304,28.2,2.06,357.0,282.67,-29.3,1.45, , 
,,,,,,283.67,2336,28.2,2.06,357.0,283.34,-28.9,1.45, , 
,,,,,,284.34,2336,23.5,2.06,316.2,284.02,-28.9,1.45, , 
,,,,,,284.99,2336,19.2,2.06,275.4,284.66,-27.0,1.56, , 
,,,,,,285.65,2304,0.0,0.00,275.4,285.33,0.0,1.64, , 
,,,,,,286.30,2304,0.0,0.00,275.4,285.96,0.0,3.98, , 
,,,,,,286.97,2272,0.0,0.00,275.4,286.64,0.0,3.98, , 
,,,,,,287.66,2240,0.0,0.00,275.4,287.31,0.0,3.98, , 
,,,,,,288.31,2240,0.0,0.00,275.4,287.98,0.0,3.98, , 
,,,,,,288.96,2208,0.0,0.00,275.4,288.62,0.0,4.02, , 
,,,,,,289.60,2208,19.2,3.09,275.4,289.27,0.0,3.59, , 
,,,,,,290.28,2176,19.2,2.06,275.4,289.94,0.0,0.63, , 
,,,,,,290.95,2176,19.2,2.06,275.4,290.62,0.0,0.39, , 
,,,,,,291.62,2176,19.2,2.06,275.4,291.28,-23.4,0.86, , 
,,,,,,292.32,2176,23.5,2.06,316.2,291.98,-27.3,1.29, , 
,,,,,,292.99,2176,25.1,2.06,336.6,292.65,-29.7,1.48, , 
,,,,,,293.67,2208,35.3,4.12,418.2,293.33,-29.3,1.52, , 
,,,,,,294.35,2208,45.9,6.18,499.8,294.01,-29.7,1.45, , 
,,,,,,295.01,2272,50.2,7.21,571.2,294.68,0.0,0.12, , 
,,,,,,295.66,2304,53.3,6.18,591.6,295.34,-14.5,0.43, , 
,,,,,,296.37,2368,53.3,6.18,591.6,296.00,-18.4,1.13, , 
,,,,,,297.05,2400,54.5,5.15,591.6,296.73,-24.6,1.45, , 
,,,,,,297.75,2432,57.6,6.18,612.0,297.40,-27.0,1.52, , 
,,,,,,298.48,2496,65.1,6.18,673.2,298.11,-28.1,1.56, , 
,,,,,,299.14,2560,67.8,7.21,714.0,298.81,-29.3,1.37, , 
,,,,,,299.83,2624,67.8,6.18,714.0,299.49,-31.3,1.25, , 
,,,,,,300.48,2688,71.0,7.21,734.4,300.16,-30.5,1.37, , 
,,,,,,301.16,2720,72.2,7.21,754.8,300.82,-30.5,1.41, , 
,,,,,,301.83,2784,71.0,7.21,734.4,301.51,-31.3,1.37, , 
,,,,,,302.48,2656,0.0,0.00,377.4,302.16,-30.1,1.45, , 
,,,,,,303.17,1376,0.0,0.00,357.0,302.82,0.0,3.71, , 
,,,,,,303.83,1152,35.3,5.15,438.6,303.50,0.0,3.83, , 
,,,,,,304.54,2112,22.0,3.09,295.8,304.19,0.0,0.08, , 
,,,,,,305.26,2080,42.7,6.18,499.8,304.89,0.0,0.00, , 
,,,,,,305.96,2112,56.1,8.24,632.4,305.60,0.0,0.27, , 
,,,,,,306.62,2144,66.3,9.27,714.0,306.27,0.0,0.08, , 
,,,,,,307.29,2144,69.4,8.24,734.4,306.96,0.0,0.08, , 
,,,,,,307.99,2176,78.4,12.36,826.2,307.65,-25.4,0.98, , 
,,,,,,308.67,2208,78.4,9.27,826.2,308.33,0.0,0.08, , 
,,,,,,309.34,2240,78.4,8.24,826.2,309.01,-24.6,0.70, , 
,,,,,,309.98,2240,78.4,8.24,826.2,309.65,-30.1,1.21, , 
,,,,,,310.64,2272,79.6,8.24,826.2,310.31,-31.6,1.17, , 
,,,,,,311.30,2304,78.4,8.24,826.2,310.99,-30.5,1.29, , 
,,,,,,311.98,2304,76.9,8.24,795.6,311.65,-32.0,1.13, , 
,,,,,,312.64,2336,72.2,7.21,754.8,312.30,-30.9,1.29, , 
,,,,,,313.32,2336,66.3,9.27,714.0,312.98,0.0,0.16, , 
,,,,,,313.99,2368,65.1,7.21,693.6,313.67,-19.1,0.47, , 
,,,,,,314.68,2368,54.5,5.15,591.6,314.33,-25.8,1.21, , 
,,,,,,315.41,2368,53.3,5.15,571.2,315.01,-28.1,1.52, , 
,,,,,,316.13,2368,53.3,5.15,591.6,315.76,-27.3,1.56, , 
,,,,,,316.79,2368,53.3,5.15,571.2,316.45,-26.2,1.45, , 
,,,,,,317.53,2368,53.3,5.15,571.2,317.18,-24.2,1.52, , 
,,,,,,318.19,2400,53.3,5.15,571.2,317.87,-24.6,1.45, , 
,,,,,,318.92,2368,51.8,5.15,571.2,318.54,-24.2,1.41, , 
,,,,,,319.63,2400,54.5,5.15,591.6,319.29,-24.2,1.37, , 
,,,,,,320.31,2400,57.6,6.18,612.0,319.99,-25.4,1.33, , 
,,,,,,321.03,2400,56.1,5.15,612.0,320.67,-26.2,1.33, , 
,,,,,,321.71,2400,54.5,5.15,591.6,321.38,-27.0,1.33, , 
,,,,,,322.43,2400,54.5,5.15,591.6,322.07,-25.4,1.45, , 
,,,,,,323.16,2432,54.5,5.15,591.6,322.79,-25.8,1.37, , 
,,,,,,323.85,2400,53.3,5.15,591.6,323.52,-25.4,1.37, , 
,,,,,,324.58,2400,51.8,5.15,571.2,324.22,-25.0,1.41, , 
,,,,,,325.32,2432,50.2,5.15,550.8,324.96,-23.8,1.45, , 
,,,,,,326.02,2400,50.2,5.15,550.8,325.68,-23.0,1.45, , 
,,,,,,326.76,2432,50.2,5.15,550.8,326.37,-23.0,1.37, , 
,,,,,,327.49,2400,50.2,5.15,550.8,327.11,-21.9,1.48, , 
,,,,,,328.23,2400,50.2,5.15,550.8,327.85,-23.0,1.41, , 
,,,,,,328.94,2400,50.2,5.15,550.8,328.58,-23.0,1.45, , 
,,,,,,329.63,2400,50.2,5.15,550.8,329.29,-23.0,1.41, , 
,,,,,,330.39,2400,50.2,5.15,550.8,329.99,-23.4,1.41, , 
,,,,,,331.11,2400,51.8,5.15,571.2,330.76,-23.0,1.45, , 
,,,,,,331.76,2400,59.2,6.18,632.4,331.43,-23.0,1.45, , 
,,,,,,332.48,2400,57.6,6.18,632.4,332.12,-25.8,1.37, , 
,,,,,,333.22,2432,57.6,6.18,612.0,332.86,-26.6,1.41, , 
,,,,,,333.89,2432,57.6,5.15,612.0,333.56,-27.0,1.41, , 
,,,,,,334.57,2432,56.1,5.15,612.0,334.22,-27.3,1.37, , 
,,,,,,335.28,2432,56.1,5.15,612.0,334.94,-27.0,1.41, , 
,,,,,,335.97,2464,50.2,5.15,571.2,335.63,-25.4,1.52, , 
,,,,,,336.65,2464,50.2,5.15,550.8,336.31,-24.6,1.48, , 
,,,,,,337.38,2464,50.2,5.15,550.8,337.02,-23.8,1.45, , 
,,,,,,338.12,2464,50.2,5.15,550.8,337.76,-24.6,1.41, , 
,,,,,,338.84,2464,50.2,5.15,550.8,338.46,-24.2,1.45, , 
,,,,,,339.57,2464,50.2,5.15,550.8,339.20,-23.4,1.48, , 
,,,,,,340.27,2464,50.2,5.15,550.8,339.92,-23.8,1.45, , 
,,,,,,341.01,2464,50.2,5.15,550.8,340.63,-23.4,1.45, , 
,,,,,,341.71,2464,50.2,5.15,550.8,341.36,-23.8,1.45, , 
,,,,,,342.43,2464,50.2,5.15,550.8,342.08,-23.8,1.45, , 
,,,,,,343.17,2464,51.8,5.15,571.2,342.79,-23.0,1.41, , 
,,,,,,343.87,2464,51.8,5.15,571.2,343.51,-24.2,1.37, , 
,,,,,,344.57,2464,56.1,6.18,612.0,344.21,-24.2,1.41, , 
,,,,,,345.26,2464,56.1,6.18,612.0,344.94,-25.4,1.33, , 
,,,,,,345.94,2464,56.1,5.15,612.0,345.60,-25.8,1.37, , 
,,,,,,346.65,2464,56.1,5.15,612.0,346.29,-26.2,1.41, , 
,,,,,,347.34,2464,56.1,5.15,612.0,347.00,-26.6,1.41, , 
,,,,,,348.03,2464,56.1,5.15,612.0,347.70,-25.8,1.48, , 
,,,,,,348.69,2496,54.5,5.15,612.0,348.37,-25.4,1.45, , 
,,,,,,349.39,2496,54.5,6.18,612.0,349.03,-25.4,1.45, , 
,,,,,,350.10,2496,56.1,6.18,612.0,349.74,-25.4,1.45, , 
,,,,,,350.79,2496,56.1,5.15,612.0,350.44,-26.2,1.37, , 
,,,,,,351.45,2496,56.1,6.18,612.0,351.13,-25.8,1.37, , 
,,,,,,352.13,2496,56.1,6.18,612.0,351.78,-26.2,1.37, , 
,,,,,,352.79,2496,56.1,5.15,612.0,352.45,-26.2,1.41, , 
,,,,,,353.49,2496,56.1,6.18,612.0,353.13,-25.0,1.48, , 
,,,,,,354.18,2528,56.1,6.18,612.0,353.82,-25.4,1.41, , 
,,,,,,354.82,2496,56.1,6.18,612.0,354.49,-25.0,1.45, , 
,,,,,,355.47,2528,56.1,6.18,612.0,355.15,-25.4,1.41, , 
,,,,,,356.17,2528,56.1,6.18,612.0,355.81,-25.8,1.41, , 
,,,,,,356.84,2528,57.6,6.18,632.4,356.51,-25.4,1.45, , 
,,,,,,357.54,2528,57.6,6.18,612.0,357.18,-25.8,1.45, , 
,,,,,,358.22,2528,57.6,6.18,612.0,357.88,-25.4,1.48, , 
,,,,,,358.94,2528,56.1,6.18,612.0,358.59,-25.8,1.45, , 
,,,,,,359.63,2528,56.1,6.18,612.0,359.29,-25.8,1.41, , 
,,,,,,360.32,2528,56.1,6.18,612.0,359.97,-26.6,1.33, , 
,,,,,,361.02,2528,56.1,5.15,612.0,360.66,-25.8,1.41, , 
,,,,,,361.73,2560,56.1,6.18,612.0,361.36,-25.4,1.45, , 
,,,,,,362.39,2560,56.1,6.18,612.0,362.07,-25.4,1.48, , 
,,,,,,363.06,2560,57.6,6.18,632.4,362.72,-26.2,1.41, , 
,,,,,,363.74,2560,56.1,6.18,612.0,363.39,-26.2,1.41, , 
,,,,,,364.43,2560,56.1,6.18,612.0,364.11,-25.4,1.41, , 
,,,,,,365.09,2560,57.6,6.18,632.4,364.77,-26.2,1.33, , 
,,,,,,365.80,2560,56.1,5.15,612.0,365.44,-26.2,1.37, , 
,,,,,,366.48,2560,56.1,6.18,612.0,366.14,-25.4,1.45, , 
,,,,,,367.17,2560,56.1,6.18,612.0,366.83,-25.0,1.48, , 
,,,,,,367.85,2592,56.1,6.18,612.0,367.50,-25.4,1.48, , 
,,,,,,368.52,2592,56.1,6.18,612.0,368.17,-25.8,1.41, , 
,,,,,,369.20,2592,56.1,6.18,612.0,368.84,-25.0,1.41, , 
,,,,,,369.88,2592,56.1,5.15,612.0,369.52,-25.8,1.37, , 
,,,,,,370.53,2592,56.1,5.15,612.0,370.20,-26.2,1.33, , 
,,,,,,371.21,2592,45.9,4.12,520.2,370.87,-25.8,1.41, , 
,,,,,,371.90,2592,38.4,4.12,459.0,371.56,-23.4,1.52, , 
,,,,,,372.57,2560,36.9,4.12,438.6,372.22,-23.4,1.41, , 
,,,,,,373.27,2560,36.9,4.12,438.6,372.91,-23.8,1.41, , 
,,,,,,373.96,2560,36.9,4.12,438.6,373.61,-24.2,1.37, , 
,,,,,,374.67,2528,41.2,4.12,479.4,374.30,-23.4,1.45, , 
,,,,,,375.37,2528,48.6,5.15,550.8,375.02,-22.3,1.45, , 
,,,,,,376.07,2528,47.1,5.15,550.8,375.72,-22.3,1.45, , 
,,,,,,376.77,2528,48.6,5.15,550.8,376.43,-21.1,1.48, , 
,,,,,,377.46,2528,47.1,5.15,520.2,377.12,-20.7,1.48, , 
,,,,,,378.11,2528,47.1,5.15,520.2,377.79,-21.1,1.41, , 
,,,,,,378.76,2496,47.1,5.15,520.2,378.44,-21.1,1.37, , 
,,,,,,379.42,2496,44.3,4.12,499.8,379.11,-21.5,1.37, , 
,,,,,,380.06,2496,44.3,4.12,499.8,379.76,-21.1,1.45, , 
,,,,,,380.76,2496,44.3,4.12,499.8,380.41,-20.3,1.48, , 
,,,,,,381.47,2496,44.3,5.15,499.8,381.11,-20.3,1.48, , 
,,,,,,382.16,2496,45.9,5.15,499.8,381.81,-20.7,1.45, , 
,,,,,,382.87,2464,48.6,5.15,550.8,382.52,-19.9,1.45, , 
,,,,,,383.57,2464,47.1,5.15,550.8,383.21,-21.1,1.37, , 
,,,,,,384.29,2464,48.6,5.15,550.8,383.92,-18.8,1.41, , 
,,,,,,384.99,2464,48.6,5.15,550.8,384.64,-18.8,1.41, , 
,,,,,,385.72,2464,54.5,6.18,591.6,385.36,-19.1,1.41, , 
,,,,,,386.39,2464,56.1,6.18,632.4,386.06,-22.7,1.29, , 
,,,,,,387.08,2464,56.1,6.18,612.0,386.72,-22.7,1.45, , 
,,,,,,387.82,2464,56.1,6.18,612.0,387.46,-22.7,1.48, , 
,,,,,,388.55,2496,56.1,6.18,612.0,388.20,-23.0,1.48, , 
,,,,,,389.27,2496,56.1,6.18,612.0,388.91,-22.3,1.48, , 
,,,,,,389.96,2496,56.1,6.18,612.0,389.61,-20.3,1.48, , 
,,,,,,390.64,2496,56.1,6.18,612.0,390.31,-19.5,1.48, , 
,,,,,,391.29,2496,56.1,6.18,612.0,390.97,-19.9,1.41, , 
,,,,,,391.97,2496,54.5,5.15,591.6,391.63,-19.9,1.41, , 
,,,,,,392.66,2496,51.8,5.15,571.2,392.29,-19.5,1.41, , 
,,,,,,393.36,2496,51.8,5.15,571.2,393.01,-18.4,1.48, , 
,,,,,,394.02,2496,51.8,5.15,571.2,393.68,-18.4,1.48, , 
,,,,,,394.69,2496,51.8,5.15,571.2,394.36,-18.0,1.52, , 
,,,,,,395.36,2496,51.8,5.15,571.2,395.03,-18.4,1.45, , 
,,,,,,396.04,2496,51.8,5.15,571.2,395.70,-16.0,1.41, , 
,,,,,,396.70,2528,51.8,5.15,571.2,396.37,-16.0,1.41, , 
,,,,,,397.39,2496,53.3,5.15,591.6,397.03,-16.0,1.45, , 
,,,,,,398.08,2528,54.5,6.18,591.6,397.73,-16.4,1.45, , 
,,,,,,398.74,2528,54.5,6.18,591.6,398.42,-16.8,1.48, , 
,,,,,,399.45,2528,53.3,6.18,591.6,399.10,-17.2,1.45, , 
,,,,,,400.15,2528,53.3,5.15,591.6,399.81,-16.8,1.45, , 
,,,,,,400.82,2528,53.3,5.15,591.6,400.48,-17.2,1.41, , 
,,,,,,401.51,2528,53.3,5.15,591.6,401.17,-17.2,1.41, , 
,,,,,,402.18,2528,53.3,5.15,591.6,401.85,-14.8,1.45, , 
,,,,,,402.89,2528,53.3,5.15,591.6,402.55,-14.8,1.48, , 
,,,,,,403.54,2528,53.3,5.15,591.6,403.21,-14.8,1.52, , 
,,,,,,404.26,2528,51.8,5.15,571.2,403.91,-15.2,1.52, , 
,,,,,,404.95,2528,51.8,5.15,571.2,404.62,-14.5,1.48, , 
,,,,,,405.66,2528,51.8,5.15,571.2,405.31,-14.5,1.41, , 
,,,,,,406.36,2528,51.8,5.15,571.2,406.03,-14.5,1.37, , 
,,,,,,407.06,2528,51.8,5.15,571.2,406.71,-14.1,1.45, , 
,,,,,,407.73,2528,51.8,5.15,571.2,407.39,-14.5,1.45, , 
,,,,,,408.41,2528,51.8,5.15,591.6,408.07,-13.3,1.48, , 
,,,,,,409.12,2528,51.8,5.15,571.2,408.78,-13.7,1.48, , 
,,,,,,409.81,2528,50.2,5.15,571.2,409.48,-13.7,1.48, , 
,,,,,,410.46,2496,41.2,4.12,479.4,410.13,-12.9,1.48, , 
,,,,,,411.12,2496,36.9,4.12,438.6,410.81,-12.1,1.45, , 
,,,,,,411.82,2496,36.9,4.12,438.6,411.46,-12.9,1.45, , 
,,,,,,412.55,2464,36.9,4.12,438.6,412.20,-12.9,1.45, , 
,,,,,,413.25,2464,35.3,4.12,438.6,412.90,-12.5,1.48, , 
,,,,,,413.95,2464,32.5,3.09,397.8,413.58,-12.9,1.37, , 
,,,,,,414.65,2432,31.0,3.09,377.4,414.31,-14.1,1.45, , 
,,,,,,415.32,2400,31.0,3.09,377.4,415.00,-14.1,1.48, , 
,,,,,,415.98,2400,31.0,3.09,377.4,415.65,-14.8,1.45, , 
,,,,,,416.63,2368,31.0,3.09,397.8,416.31,-14.1,1.48, , 
,,,,,,417.34,2368,22.0,2.06,316.2,417.00,-14.1,1.41, , 
,,,,,,418.01,2336,22.0,2.06,295.8,417.66,-14.5,1.48, , 
,,,,,,418.70,2304,20.8,2.06,295.8,418.36,-14.1,1.48, , 
,,,,,,419.39,2304,22.0,2.06,316.2,419.04,-12.9,1.52, , 
,,,,,,420.10,2240,25.1,2.06,336.6,419.74,-14.5,1.41, , 
,,,,,,420.77,2176,26.7,2.06,357.0,420.43,-16.4,1.45, , 
,,,,,,421.46,2144,29.4,3.09,377.4,421.12,-16.8,1.48, , 
,,,,,,422.14,2112,40.0,4.12,459.0,421.81,-15.6,1.52, , 
,,,,,,422.83,2048,40.0,4.12,479.4,422.48,-14.1,1.56, , 
,,,,,,423.51,2016,42.7,4.12,499.8,423.17,-13.3,1.52, , 
,,,,,,424.22,1984,63.5,8.24,714.0,423.87,-12.1,1.52, , 
,,,,,,424.94,1984,66.3,7.21,734.4,424.58,0.0,0.78, , 
,,,,,,425.66,1984,67.8,7.21,734.4,425.30,-9.8,1.25, , 
,,,,,,426.38,1984,67.8,7.21,734.4,426.02,-12.5,1.41, , 
,,,,,,427.11,1984,67.8,7.21,734.4,426.74,-14.5,1.48, , 
,,,,,,427.81,2016,66.3,7.21,734.4,427.46,-14.8,1.52, , 
,,,,,,428.50,2048,66.3,7.21,734.4,428.15,-14.8,1.52, , 
,,,,,,429.19,2048,65.1,7.21,714.0,428.84,-14.8,1.52, , 
,,,,,,429.89,2080,60.4,6.18,673.2,429.56,-13.7,1.52, , 
,,,,,,430.58,2112,62.0,7.21,693.6,430.23,-14.5,1.45, , 
,,,,,,431.28,2144,62.0,6.18,673.2,430.93,-14.8,1.48, , 
,,,,,,431.94,2208,60.4,6.18,673.2,431.62,-14.5,1.48, , 
,,,,,,432.61,2240,60.4,6.18,652.8,432.28,-14.8,1.48, , 
,,,,,,433.28,2272,59.2,6.18,652.8,432.94,-14.8,1.48, , 
,,,,,,433.93,2304,63.5,7.21,693.6,433.61,-14.1,1.45, , 
,,,,,,434.59,2336,72.2,7.21,754.8,434.25,-16.0,1.29, , 
,,,,,,435.29,2368,76.9,7.21,795.6,434.90,-19.9,1.29, , 
,,,,,,436.02,2400,75.3,7.21,795.6,435.65,-22.3,1.45, , 
,,,,,,436.75,2432,75.3,7.21,795.6,436.39,-23.0,1.41, , 
,,,,,,437.45,2464,73.7,7.21,775.2,437.11,-23.4,1.48, , 
,,,,,,438.17,2464,73.7,7.21,775.2,437.79,-23.0,1.48, , 
,,,,,,438.89,2464,73.7,7.21,775.2,438.54,-23.0,1.52, , 
,,,,,,439.55,2496,73.7,7.21,775.2,439.22,-23.0,1.48, , 
,,,,,,440.26,2528,72.2,7.21,775.2,439.91,-22.3,1.52, , 
,,,,,,440.97,2528,72.2,7.21,754.8,440.63,-21.9,1.52, , 
,,,,,,441.63,2560,72.2,7.21,754.8,441.31,-22.3,1.45, , 
,,,,,,442.31,2560,71.0,7.21,754.8,441.96,-21.9,1.41, , 
,,,,,,442.99,2560,71.0,7.21,754.8,442.65,-21.5,1.45, , 
,,,,,,443.68,2592,69.4,7.21,734.4,443.34,-21.9,1.45, , 
,,,,,,444.38,2592,69.4,7.21,734.4,444.02,-21.5,1.45, , 
,,,,,,445.03,2624,54.5,6.18,591.6,444.71,0.0,1.60, , 
,,,,,,445.68,2592,59.2,6.18,632.4,445.36,-10.9,0.78, , 
,,,,,,446.31,2592,60.4,6.18,652.8,446.00,-14.5,1.25, , 
,,,,,,446.94,2624,60.4,6.18,652.8,446.62,-18.0,1.41, , 
,,,,,,447.59,2624,60.4,6.18,652.8,447.26,-18.4,1.52, , 
,,,,,,448.25,2624,60.4,6.18,652.8,447.91,-18.4,1.60, , 
,,,,,,448.92,2624,59.2,6.18,652.8,448.58,-18.0,1.56, , 
,,,,,,449.59,2624,59.2,6.18,652.8,449.26,-18.0,1.52, , 
,,,,,,450.29,2624,59.2,6.18,652.8,449.94,-17.2,1.45, , 
,,,,,,450.97,2624,59.2,6.18,652.8,450.62,-17.2,1.45, , 
,,,,,,451.65,2656,59.2,6.18,632.4,451.30,-16.8,1.48, , 
,,,,,,452.37,2656,59.2,6.18,652.8,452.01,-16.8,1.45, , 
,,,,,,453.04,2656,59.2,6.18,652.8,452.70,-17.2,1.52, , 
