Niedziela,23,Sierpień,2026,21:50:24:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'002,,,,Grupa B:,'032,,,,Grupa C:,'033
,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , ,,Lambda,Napięcie, , 
,270.13,2112,35.3,4.12,438.6,270.46,0.0,3.1, , ,270.81,-4.3,1.60, , 
,271.16,2144,44.3,6.18,520.2,271.51,0.0,3.1, , ,271.85,0.4,1.48, , 
,272.17,2176,60.4,9.27,673.2,272.53,0.0,3.1, , ,272.86,-3.9,1.37, , 
,273.20,2208,38.4,5.15,479.4,273.54,0.0,3.1, , ,273.87,0.0,1.33, , 
,274.22,2208,23.5,3.09,316.2,274.55,0.0,3.1, , ,274.88,-9.0,1.25, , 
,275.23,2208,23.5,3.09,316.2,275.56,0.0,3.1, , ,275.90,-10.9,1.41, , 
,276.23,2176,20.8,2.06,295.8,276.58,0.0,3.1, , ,276.93,-13.3,1.56, , 
,277.29,2176,19.2,2.06,295.8,277.65,0.0,3.1, , ,277.99,-8.2,1.68, , 
,278.32,2112,0.0,0.00,244.8,278.66,0.0,3.1, , ,279.00,0.0,3.83, , 
,279.32,1664,0.0,0.00,295.8,279.63,0.0,0.0, , ,279.92,0.0,3.79, , 
,280.25,1056,28.2,4.12,397.8,280.58,0.0,0.0, , ,280.90,0.0,0.70, , 
,281.26,1696,0.0,0.00,316.2,281.60,0.0,3.1, , ,281.93,0.0,3.83, , 
,282.25,2144,0.0,0.00,275.4,282.61,0.0,3.1, , ,282.97,0.0,3.95, , 
,283.32,2048,0.0,0.00,244.8,283.66,0.0,3.1, , ,284.00,0.0,3.87, , 
,284.36,1952,0.0,0.00,244.8,284.71,0.0,3.1, , ,285.10,0.0,1.84, , 
,285.46,1920,26.7,4.12,357.0,285.83,0.0,3.1, , ,286.20,0.0,1.48, , 
,286.57,1920,44.3,6.18,550.8,286.92,0.0,3.1, , ,287.28,3.9,1.52, , 
,287.64,1984,54.5,8.24,632.4,287.99,0.0,3.1, , ,288.32,1.6,1.56, , 
,288.65,2080,47.1,6.18,550.8,288.99,0.0,3.1, , ,289.32,0.0,1.37, , 
,289.65,2080,17.6,2.06,275.4,289.99,0.0,3.1, , ,290.34,-6.3,1.21, , 
,290.70,2048,23.5,3.09,336.6,291.07,0.0,3.1, , ,291.40,-10.2,1.45, , 
,291.76,2080,23.5,3.09,336.6,292.13,0.0,3.1, , ,292.47,-10.5,1.48, , 
,292.82,2048,25.1,3.09,336.6,293.17,0.0,3.1, , ,293.53,-11.7,1.48, , 
,293.88,2048,25.1,3.09,336.6,294.24,0.0,3.1, , ,294.58,-14.5,1.45, , 
,294.95,2048,25.1,3.09,336.6,295.31,0.0,3.1, , ,295.67,-17.2,1.45, , 
,296.02,2048,25.1,3.09,336.6,296.38,0.0,3.1, , ,296.72,-13.7,1.52, , 
,297.08,2048,25.1,3.09,336.6,297.43,0.0,3.1, , ,297.79,-14.1,1.48, , 
,298.16,2048,25.1,3.09,336.6,298.51,0.0,3.1, , ,298.87,-10.9,1.52, , 
,299.24,2048,25.1,3.09,336.6,299.60,0.0,3.1, , ,299.94,-7.8,1.60, , 
,300.29,2048,26.7,3.09,357.0,300.62,0.0,3.1, , ,300.97,-4.7,1.56, , 
,301.31,2080,25.1,3.09,336.6,301.66,0.0,3.1, , ,302.00,-2.3,1.48, , 
,302.36,2080,25.1,3.09,336.6,302.70,0.0,3.1, , ,303.07,-3.5,1.41, , 
,303.40,2080,25.1,3.09,336.6,303.74,0.0,3.1, , ,304.07,-3.1,1.48, , 
,304.41,2112,25.1,3.09,336.6,304.75,0.0,3.1, , ,305.11,-2.0,1.48, , 
,305.45,2112,22.0,3.09,316.2,305.80,0.0,3.1, , ,306.13,-6.6,1.33, , 
,306.49,2112,16.1,2.06,244.8,306.83,0.0,3.1, , ,307.17,-2.3,1.52, , 
,307.52,2048,16.1,2.06,244.8,307.87,0.0,3.1, , ,308.22,-0.4,1.52, , 
,308.57,2016,16.1,2.06,244.8,308.91,0.0,3.1, , ,309.26,3.1,1.56, , 
,309.61,1984,16.1,2.06,244.8,309.97,0.0,3.1, , ,310.33,5.9,1.52, , 
,310.70,1984,16.1,2.06,244.8,311.08,0.0,3.1, , ,311.44,4.3,1.29, , 
,311.79,1952,16.1,2.06,244.8,312.14,0.0,3.1, , ,312.51,5.1,1.52, , 
,312.86,1952,16.1,2.06,244.8,313.23,0.0,3.1, , ,313.59,2.0,1.33, , 
,313.95,1952,17.6,2.06,275.4,314.33,0.0,3.1, , ,314.68,-2.3,1.33, , 
,315.03,1952,20.8,2.06,295.8,315.40,0.0,3.1, , ,315.75,-7.8,1.29, , 
,316.12,1984,19.2,2.06,295.8,316.48,0.0,3.1, , ,316.84,-7.4,1.41, , 
,317.21,1952,19.2,2.06,295.8,317.57,0.0,3.1, , ,317.92,-10.2,1.56, , 
,318.29,1952,16.1,2.06,244.8,318.64,0.0,3.1, , ,319.01,-2.7,1.68, , 
,319.36,1952,17.6,2.06,244.8,319.73,0.0,3.1, , ,320.08,-1.6,1.56, , 
,320.42,1920,0.0,0.00,275.4,320.77,0.0,3.1, , ,321.11,0.0,3.87, , 
,321.47,1888,0.0,0.00,295.8,321.81,0.0,3.1, , ,322.17,0.0,3.91, , 
,322.53,1856,0.0,0.00,295.8,322.88,0.0,3.1, , ,323.24,0.0,3.95, , 
,323.59,1856,19.2,3.09,275.4,323.96,0.0,3.1, , ,324.33,0.0,0.66, , 
,324.68,1856,19.2,2.06,275.4,325.03,0.0,3.1, , ,325.38,-3.5,1.45, , 
,325.73,1888,17.6,2.06,275.4,326.09,0.0,3.1, , ,326.46,-3.9,1.60, , 
,326.82,1888,17.6,2.06,275.4,327.18,0.0,3.1, , ,327.53,-4.3,1.45, , 
,327.87,1920,17.6,2.06,275.4,328.24,0.0,3.1, , ,328.59,-0.8,1.60, , 
,328.97,1984,16.1,2.06,244.8,329.34,0.0,3.1, , ,329.70,-0.4,1.52, , 
,330.06,1952,16.1,2.06,244.8,330.42,0.0,3.1, , ,330.78,0.0,1.37, , 
,331.15,1984,16.1,2.06,244.8,331.50,0.0,3.1, , ,331.85,2.7,1.52, , 
,332.19,1984,16.1,2.06,244.8,332.54,0.0,3.1, , ,332.88,2.3,1.41, , 
,333.23,2016,16.1,2.06,244.8,333.58,0.0,3.1, , ,333.92,1.2,1.45, , 
,334.27,2048,16.1,2.06,244.8,334.63,0.0,3.1, , ,334.98,0.0,1.41, , 
,335.33,2080,16.1,2.06,244.8,335.67,0.0,3.1, , ,336.01,-0.4,1.45, , 
,336.38,2112,16.1,2.06,244.8,336.71,0.0,3.1, , ,337.03,-8.2,1.13, , 
,337.36,2144,23.5,3.09,316.2,337.71,0.0,3.1, , ,338.04,-13.7,1.33, , 
,338.39,2208,28.2,3.09,357.0,338.75,0.0,3.1, , ,339.10,-11.7,1.56, , 
,339.43,2272,23.5,3.09,316.2,339.76,0.0,3.1, , ,340.11,-14.5,1.52, , 
,340.45,2304,17.6,2.06,244.8,340.78,0.0,3.1, , ,341.12,-6.6,1.64, , 
,341.47,2304,0.0,0.00,244.8,341.81,0.0,3.1, , ,342.14,0.0,3.83, , 
,342.47,2272,0.0,0.00,244.8,342.81,0.0,3.1, , ,343.14,0.0,3.95, , 
,343.48,2208,0.0,0.00,244.8,343.81,0.0,3.1, , ,344.15,0.0,3.87, , 
,344.48,2176,0.0,0.00,244.8,344.81,0.0,3.1, , ,345.15,0.0,0.98, , 
,345.48,2176,16.1,2.06,244.8,345.82,0.0,3.1, , ,346.16,0.0,1.13, , 
,346.50,2176,16.1,2.06,244.8,346.85,0.0,3.1, , ,347.18,-3.9,1.52, , 
,347.51,2208,16.1,2.06,244.8,347.85,0.0,3.1, , ,348.19,-5.5,1.45, , 
,348.52,2272,19.2,2.06,275.4,348.84,0.0,3.1, , ,349.18,-11.7,1.33, , 
,349.51,2304,20.8,2.06,295.8,349.85,0.0,3.1, , ,350.17,-15.2,1.45, , 
,350.52,2336,22.0,2.06,295.8,350.86,0.0,3.1, , ,351.20,-18.0,1.45, , 
,351.58,2400,22.0,2.06,295.8,351.94,0.0,3.1, , ,352.29,-18.8,1.56, , 
,352.63,2432,20.8,2.06,295.8,352.96,0.0,3.1, , ,353.33,-16.0,1.56, , 
,353.66,2464,20.8,2.06,295.8,354.01,0.0,3.1, , ,354.37,-15.6,1.52, , 
,354.73,2496,17.6,2.06,244.8,355.08,0.0,3.1, , ,355.39,0.0,3.52, , 
,355.72,2464,0.0,0.00,275.4,356.03,0.0,3.1, , ,356.36,0.0,3.91, , 
,356.69,2432,0.0,0.00,244.8,357.01,0.0,3.1, , ,357.35,0.0,3.98, , 
,357.67,2400,0.0,0.00,244.8,357.99,0.0,3.1, , ,358.31,0.0,3.91, , 
,358.64,2368,0.0,0.00,244.8,358.97,0.0,3.1, , ,359.30,0.0,3.87, , 
,359.64,2304,17.6,3.09,244.8,359.97,0.0,3.1, , ,360.30,0.0,0.66, , 
,360.62,2400,42.7,6.18,499.8,360.96,0.0,3.1, , ,361.29,0.0,1.29, , 
,361.65,2464,20.8,3.09,275.4,361.97,0.0,3.1, , ,362.29,-5.9,1.33, , 
,362.61,2464,0.0,0.00,244.8,362.95,0.0,3.1, , ,363.28,0.0,1.60, , 
,363.60,2432,17.6,2.06,244.8,363.93,0.0,3.1, , ,364.27,-7.4,1.02, , 
,364.62,2400,20.8,3.09,295.8,364.96,0.0,3.1, , ,365.30,-12.5,1.29, , 
,365.66,2432,23.5,3.09,316.2,366.01,0.0,3.1, , ,366.36,-13.3,1.60, , 
,366.70,2432,26.7,3.09,357.0,367.05,0.0,3.1, , ,367.38,-11.7,1.52, , 
,367.71,2432,22.0,2.06,295.8,368.08,0.0,3.1, , ,368.45,-13.7,1.52, , 
,368.81,2432,23.5,3.09,316.2,369.17,0.0,3.1, , ,369.53,-13.7,1.52, , 
,369.88,2464,23.5,3.09,316.2,370.21,0.0,3.1, , ,370.58,-14.1,1.52, , 
,370.95,2432,25.1,3.09,336.6,371.29,0.0,3.1, , ,371.63,-11.3,1.52, , 
,371.97,2432,29.4,3.09,377.4,372.31,0.0,3.1, , ,372.65,-3.9,1.60, , 
,372.99,2464,36.9,5.15,438.6,373.34,0.0,3.1, , ,373.70,-4.7,1.29, , 
,374.06,2432,20.8,2.06,295.8,374.41,0.0,3.1, , ,374.73,-12.1,1.29, , 
,375.06,2400,20.8,2.06,295.8,375.42,0.0,3.1, , ,375.77,-14.5,1.45, , 
,376.11,2368,22.0,2.06,295.8,376.46,0.0,3.1, , ,376.79,-16.8,1.41, , 
,377.11,2304,22.0,2.06,316.2,377.44,0.0,3.1, , ,377.78,-18.0,1.45, , 
,378.11,2272,23.5,2.06,316.2,378.45,0.0,3.1, , ,378.79,-19.1,1.52, , 
,379.13,2240,23.5,2.06,316.2,379.46,0.0,3.1, , ,379.79,-15.6,1.52, , 
,380.12,2208,23.5,2.06,316.2,380.48,0.0,3.1, , ,380.81,-15.2,1.56, , 
,381.16,2176,23.5,3.09,316.2,381.50,0.0,3.1, , ,381.83,-12.5,1.52, , 
,382.16,2176,23.5,3.09,336.6,382.48,0.0,3.1, , ,382.83,-8.6,1.52, , 
,383.17,2144,26.7,3.09,357.0,383.52,0.0,3.1, , ,383.87,-6.6,1.52, , 
,384.20,2144,26.7,3.09,357.0,384.57,0.0,3.1, , ,384.91,-5.5,1.37, , 
,385.25,2144,22.0,3.09,295.8,385.62,0.0,3.1, , ,385.97,-10.5,1.37, , 
,386.33,2080,22.0,2.06,316.2,386.67,0.0,3.1, , ,387.02,-13.7,1.37, , 
,387.37,2048,23.5,3.09,336.6,387.74,0.0,3.1, , ,388.08,-15.2,1.48, , 
,388.44,1824,0.0,0.00,295.8,388.76,0.0,0.0, , ,389.08,0.0,3.55, , 
,389.41,1152,25.1,4.12,357.0,389.71,0.0,0.0, , ,390.05,0.0,0.66, , 
,390.35,960,22.0,3.09,336.6,390.64,0.0,0.0, , ,390.96,0.0,1.02, , 
,391.27,896,23.5,3.09,357.0,391.59,0.0,0.0, , ,391.89,0.0,1.41, , 
,392.19,896,25.1,3.09,357.0,392.50,0.0,0.0, , ,392.82,-0.4,1.45, , 
,393.12,896,25.1,3.09,377.4,393.48,0.0,0.0, , ,393.86,-0.8,1.48, , 
,394.20,2144,17.6,2.06,275.4,394.55,0.0,3.1, , ,394.91,-5.1,1.21, , 
,395.26,1920,41.2,6.18,499.8,395.61,0.0,3.1, , ,395.97,0.0,1.48, , 
,396.32,2016,29.4,4.12,397.8,396.66,0.0,3.1, , ,397.00,-7.8,1.05, , 
,397.36,2016,23.5,3.09,336.6,397.73,0.0,3.1, , ,398.10,-4.3,1.64, , 
,398.45,1888,17.6,2.06,275.4,398.84,0.0,3.1, , ,399.20,-8.2,1.41, , 
,399.59,1760,22.0,3.09,316.2,399.97,0.0,3.1, , ,400.35,-5.9,1.56, , 
,400.71,1728,29.4,3.09,397.8,401.07,0.0,3.1, , ,401.39,-3.1,1.60, , 
,401.73,1728,32.5,4.12,418.2,402.07,0.0,3.1, , ,402.42,0.4,1.48, , 
,402.77,1728,29.4,4.12,397.8,403.13,0.0,3.1, , ,403.49,-1.2,1.41, , 
,403.83,1760,29.4,4.12,397.8,404.16,0.0,3.1, , ,404.53,-1.6,1.45, , 
,404.89,1760,31.0,4.12,397.8,405.28,0.0,3.1, , ,405.67,-5.1,1.48, , 
,406.04,1760,31.0,4.12,397.8,406.39,0.0,3.1, , ,406.76,-9.4,1.48, , 
,407.11,1760,29.4,4.12,397.8,407.48,0.0,3.1, , ,407.86,-9.8,1.45, , 
,408.23,1792,29.4,3.09,377.4,408.58,0.0,3.1, , ,408.94,-10.2,1.45, , 
,409.33,1824,29.4,3.09,377.4,409.71,0.0,3.1, , ,410.08,-11.3,1.45, , 
,410.45,1856,31.0,4.12,397.8,410.81,0.0,3.1, , ,411.15,-11.7,1.45, , 
,411.54,1920,28.2,3.09,377.4,411.90,0.0,3.1, , ,412.26,-13.3,1.52, , 
,412.61,1888,28.2,3.09,377.4,412.99,0.0,3.1, , ,413.37,-13.7,1.52, , 
,413.73,1952,28.2,3.09,377.4,414.09,0.0,3.1, , ,414.46,-14.1,1.45, , 
,414.83,1952,28.2,3.09,377.4,415.19,0.0,3.1, , ,415.56,-13.7,1.52, , 
,415.92,1984,34.1,4.12,418.2,416.27,0.0,3.1, , ,416.64,-9.0,1.56, , 
,416.98,2080,40.0,5.15,479.4,417.30,0.0,3.1, , ,417.63,-3.5,1.52, , 
,417.94,2208,50.2,7.21,591.6,418.27,0.0,3.1, , ,418.61,-3.9,1.29, , 
,418.96,2432,51.8,7.21,591.6,419.32,0.0,3.1, , ,419.64,-3.9,1.52, , 
,420.00,2560,40.0,5.15,459.0,420.33,0.0,3.1, , ,420.67,-4.7,1.45, , 
,421.00,2656,29.4,3.09,377.4,421.35,0.0,3.1, , ,421.69,-10.9,1.21, , 
,422.02,2560,19.2,2.06,275.4,422.38,0.0,3.1, , ,422.73,-9.4,1.48, , 
,423.05,2496,20.8,2.06,275.4,423.39,0.0,3.1, , ,423.73,-14.1,1.41, , 
,424.06,2432,26.7,3.09,336.6,424.42,0.0,3.1, , ,424.78,-10.9,1.52, , 
,425.13,2432,28.2,3.09,357.0,425.47,0.0,3.1, , ,425.82,-9.4,1.52, , 
,426.15,2432,28.2,4.12,357.0,426.47,0.0,3.1, , ,426.83,-5.9,1.56, , 
,427.22,2464,38.4,5.15,459.0,427.57,0.0,3.1, , ,427.93,-4.7,1.45, , 
,428.25,2560,38.4,5.15,459.0,428.58,0.0,3.1, , ,428.91,-3.9,1.48, , 
,429.25,2656,38.4,5.15,459.0,429.61,0.0,3.1, , ,429.95,-4.3,1.45, , 
,430.30,2720,32.5,4.12,397.8,430.66,0.0,3.1, , ,431.03,-6.6,1.41, , 
,431.37,2752,28.2,3.09,357.0,431.71,0.0,3.1, , ,432.06,-7.4,1.45, , 
,432.41,2752,28.2,3.09,357.0,432.75,0.0,3.1, , ,433.10,-10.2,1.37, , 
,433.43,2720,20.8,2.06,295.8,433.75,0.0,3.1, , ,434.08,-16.4,1.41, , 
,434.40,2656,20.8,2.06,295.8,434.74,0.0,3.1, , ,435.07,-16.4,1.56, , 
,435.40,2592,25.1,3.09,336.6,435.72,0.0,3.1, , ,436.05,-14.1,1.52, , 
,436.40,2528,25.1,3.09,336.6,436.74,0.0,3.1, , ,437.06,-12.1,1.52, , 
,437.41,2496,29.4,4.12,377.4,437.76,0.0,3.1, , ,438.11,0.0,1.91, , 
,438.46,1696,0.0,0.00,295.8,438.79,0.0,0.0, , ,439.07,0.0,3.71, , 
,439.37,1088,28.2,4.12,377.4,439.67,0.0,0.0, , ,439.98,0.0,0.82, , 
,440.30,1056,23.5,3.09,357.0,440.65,0.0,0.0, , ,440.97,0.0,0.98, , 
,441.28,928,23.5,3.09,336.6,441.60,0.0,0.0, , ,441.89,-3.1,1.33, , 
,442.19,864,25.1,3.09,377.4,442.47,0.0,0.0, , ,442.78,-3.5,1.45, , 
,443.09,864,25.1,3.09,377.4,443.41,0.0,0.0, , ,443.70,-3.1,1.48, , 
,444.02,896,25.1,3.09,377.4,444.32,0.0,0.0, , ,444.63,-2.3,1.48, , 
,444.94,736,26.7,3.09,397.8,445.25,0.0,0.0, , ,445.54,-4.3,1.29, , 
,445.84,800,25.1,3.09,377.4,446.14,0.0,0.0, , ,446.45,-7.0,1.37, , 
,446.76,800,26.7,3.09,397.8,447.05,0.0,0.0, , ,447.34,-7.0,1.52, , 
,447.67,704,34.1,4.12,459.0,447.97,0.0,0.0, , ,448.30,0.0,1.64, , 
,448.65,1408,38.4,5.15,479.4,448.96,0.0,0.0, , ,449.25,0.0,1.56, , 
,449.62,1280,63.5,10.30,734.4,449.98,0.0,3.1, , ,450.34,-3.5,1.29, , 
,450.73,1312,69.4,10.30,795.6,451.11,0.0,3.1, , ,451.47,0.0,1.05, , 
,451.83,2144,0.0,0.00,418.2,452.18,0.0,3.1, , ,452.53,0.0,3.71, , 
,452.83,1248,41.2,7.21,520.2,453.13,0.0,0.0, , ,453.46,0.0,1.25, , 
,453.78,1280,76.9,12.36,867.0,454.10,0.0,0.0, , ,454.44,0.0,1.02, , 
,454.75,1472,50.2,7.21,612.0,455.02,0.0,0.0, , ,455.40,-1.6,1.41, , 
,455.74,1568,53.3,8.24,632.4,456.10,0.0,3.1, , ,456.47,-1.6,1.48, , 
,456.83,1696,62.0,10.30,714.0,457.15,0.0,3.1, , ,457.53,0.0,1.25, , 
,457.89,1888,59.2,8.24,693.6,458.26,0.0,3.1, , ,458.62,0.0,1.41, , 
,458.98,1856,32.5,4.12,397.8,459.34,0.0,3.1, , ,459.70,-5.5,1.48, , 
,460.08,1856,53.3,8.24,632.4,460.45,0.0,3.1, , ,460.81,0.0,1.25, , 
,461.14,2112,75.3,12.36,826.2,461.48,0.0,3.1, , ,461.81,-4.7,1.29, , 
,462.18,2336,79.6,12.36,867.0,462.53,0.0,3.1, , ,462.87,-11.3,1.41, , 
,463.20,2464,0.0,0.00,499.8,463.56,0.0,3.1, , ,463.92,0.0,3.79, , 
,464.28,1664,54.5,10.30,632.4,464.66,0.0,3.1, , ,464.99,0.0,1.29, , 
,465.34,1632,63.5,9.27,734.4,465.68,0.0,3.1, , ,466.04,0.0,1.45, , 
,466.39,1600,32.5,5.15,418.2,466.73,0.0,3.1, , ,467.10,-4.7,1.41, , 
,467.45,1536,44.3,6.18,520.2,467.80,0.0,3.1, , ,468.11,0.0,1.21, , 
,468.47,1536,40.0,5.15,499.8,468.83,0.0,0.0, , ,469.14,0.0,3.28, , 
,469.49,1184,25.1,4.12,357.0,469.80,0.0,0.0, , ,470.11,0.0,0.78, , 
,470.42,960,20.8,3.09,336.6,470.72,0.0,0.0, , ,471.04,0.0,1.17, , 
,471.37,1088,26.7,3.09,377.4,471.72,0.0,0.0, , ,472.01,-3.5,1.37, , 
,472.32,928,29.4,4.12,418.2,472.61,0.0,0.0, , ,472.94,0.0,1.56, , 
,473.24,1056,78.4,13.39,907.8,473.56,0.0,0.0, , ,473.87,0.0,1.33, , 
,474.17,1312,87.1,14.42,989.4,474.46,0.0,0.0, , ,474.80,0.0,0.90, , 
,475.14,1696,90.2,15.45,989.4,475.51,0.0,3.1, , ,475.85,-8.6,1.17, , 
,476.18,2144,91.4,13.39,989.4,476.50,0.0,3.1, , ,476.83,0.0,1.02, , 
,477.19,2016,0.0,0.00,336.6,477.50,0.0,3.1, , ,477.85,0.0,3.13, , 
,478.21,1664,54.5,9.27,632.4,478.57,0.0,3.1, , ,478.90,0.0,1.13, , 
,479.28,1728,79.6,13.39,907.8,479.67,0.0,3.1, , ,480.04,-7.0,1.21, , 
,480.40,1920,76.9,11.33,867.0,480.75,0.0,3.1, , ,481.12,0.0,1.48, , 
,481.47,1952,29.4,4.12,377.4,481.85,0.0,3.1, , ,482.20,-11.3,0.98, , 
,482.57,1952,28.2,3.09,377.4,482.92,0.0,3.1, , ,483.29,-17.2,1.41, , 
,483.66,1920,28.2,3.09,377.4,484.02,0.0,3.1, , ,484.37,-9.0,1.80, , 
,484.72,1760,0.0,0.00,295.8,485.02,0.0,0.0, , ,485.32,0.0,3.52, , 
,485.63,1056,28.2,4.12,377.4,485.95,0.0,0.0, , ,486.29,0.0,0.74, , 
,486.59,928,23.5,3.09,357.0,486.90,0.0,0.0, , ,487.21,0.0,1.02, , 
,487.52,928,25.1,3.09,377.4,487.81,0.0,0.0, , ,488.12,-2.7,1.29, , 
,488.42,864,25.1,3.09,377.4,488.71,0.0,0.0, , ,489.01,-2.7,1.48, , 
,489.31,896,25.1,3.09,377.4,489.61,0.0,0.0, , ,490.00,-2.3,1.48, , 
,490.37,1408,32.5,4.12,418.2,490.67,0.0,0.0, , ,491.00,0.0,1.33, , 
,491.37,1504,71.0,11.33,826.2,491.73,0.0,3.1, , ,492.08,0.0,1.25, , 
,492.44,1760,67.8,10.30,775.2,492.82,0.0,3.1, , ,493.18,0.0,1.52, , 
,493.55,1824,48.6,7.21,571.2,493.90,0.0,3.1, , ,494.26,-1.6,1.37, , 
,494.62,1952,50.2,7.21,591.6,494.97,0.0,3.1, , ,495.33,-1.6,1.45, , 
,495.68,1952,41.2,5.15,499.8,496.04,0.0,3.1, , ,496.39,-2.0,1.52, , 
,496.75,2016,50.2,7.21,591.6,497.10,0.0,3.1, , ,497.46,-1.6,1.56, , 
,497.82,2080,44.3,6.18,520.2,498.15,0.0,3.1, , ,498.50,-2.0,1.45, , 
,498.86,2176,40.0,5.15,479.4,499.22,0.0,3.1, , ,499.58,0.0,1.91, , 
,499.88,1504,0.0,0.00,336.6,500.18,0.0,0.0, , ,500.48,0.0,3.09, , 
,500.79,1056,26.7,4.12,377.4,501.10,0.0,0.0, , ,501.44,0.0,0.55, , 
,501.80,992,22.0,3.09,336.6,502.11,0.0,0.0, , ,502.43,0.0,1.09, , 
,502.74,896,25.1,3.09,377.4,503.05,0.0,0.0, , ,503.36,-1.6,1.41, , 
,503.67,896,25.1,3.09,377.4,504.01,0.0,0.0, , ,504.32,-1.6,1.45, , 
,504.61,896,25.1,3.09,377.4,504.92,0.0,0.0, , ,505.22,-1.6,1.45, , 
,505.52,864,25.1,3.09,377.4,505.84,0.0,0.0, , ,506.15,-0.8,1.48, , 
,506.45,864,25.1,3.09,377.4,506.74,0.0,0.0, , ,507.02,0.0,1.48, , 
,507.33,864,25.1,3.09,377.4,507.63,0.0,0.0, , ,507.93,0.0,1.41, , 
,508.23,864,23.5,3.09,357.0,508.54,0.0,0.0, , ,508.80,-2.0,1.33, , 
,509.10,768,28.2,3.09,397.8,509.39,0.0,0.0, , ,509.70,-5.5,1.25, , 
,510.01,768,25.1,3.09,397.8,510.30,0.0,0.0, , ,510.60,-6.6,1.52, , 
,510.90,800,26.7,3.09,397.8,511.20,0.0,0.0, , ,511.50,-5.5,1.52, , 
,511.79,768,25.1,3.09,397.8,512.08,0.0,0.0, , ,512.37,-4.7,1.52, , 
,512.66,800,26.7,3.09,397.8,512.95,0.0,0.0, , ,513.26,-3.9,1.48, , 
,513.55,768,26.7,3.09,397.8,513.85,0.0,0.0, , ,514.13,-3.9,1.48, , 
,514.44,800,26.7,3.09,397.8,514.73,0.0,0.0, , ,515.02,-3.9,1.45, , 
,515.30,768,25.1,3.09,397.8,515.60,0.0,0.0, , ,515.90,-5.1,1.45, , 
,516.18,768,26.7,3.09,397.8,516.47,0.0,0.0, , ,516.77,-5.1,1.48, , 
,517.06,800,26.7,3.09,397.8,517.37,0.0,0.0, , ,517.67,-5.1,1.48, , 
,517.97,800,26.7,3.09,397.8,518.27,0.0,0.0, , ,518.58,-4.7,1.48, , 
,518.88,768,26.7,3.09,397.8,519.17,0.0,0.0, , ,519.47,-5.1,1.45, , 
,519.78,800,26.7,3.09,397.8,520.08,0.0,0.0, , ,520.38,-4.3,1.41, , 
,520.67,800,26.7,3.09,397.8,520.97,0.0,0.0, , ,521.26,-5.1,1.37, , 
,521.56,768,25.1,3.09,397.8,521.85,0.0,0.0, , ,522.14,-5.1,1.45, , 
,522.44,800,26.7,3.09,397.8,522.74,0.0,0.0, , ,523.03,-3.9,1.48, , 
,523.33,800,26.7,3.09,397.8,523.63,0.0,0.0, , ,523.93,-4.3,1.48, , 
,524.23,800,26.7,3.09,397.8,524.52,0.0,0.0, , ,524.82,-3.5,1.48, , 
,525.11,768,26.7,3.09,397.8,525.41,0.0,0.0, , ,525.70,-3.1,1.48, , 
,526.01,768,26.7,3.09,397.8,526.30,0.0,0.0, , ,526.60,-2.3,1.48, , 
,526.88,800,26.7,3.09,397.8,527.17,0.0,0.0, , ,527.47,-2.0,1.48, , 
,527.77,768,26.7,3.09,397.8,528.06,0.0,0.0, , ,528.36,-3.1,1.48, , 
,528.65,768,26.7,3.09,397.8,528.96,0.0,0.0, , ,529.26,-3.1,1.45, , 
,529.56,768,26.7,3.09,397.8,529.86,0.0,0.0, , ,530.16,-4.3,1.41, , 
,530.47,768,26.7,3.09,397.8,530.77,0.0,0.0, , ,531.06,-5.1,1.45, , 
,531.35,768,26.7,3.09,397.8,531.63,0.0,0.0, , ,531.91,-5.5,1.45, , 
,532.21,800,26.7,3.09,397.8,532.51,0.0,0.0, , ,532.80,-6.3,1.41, , 
,533.10,768,26.7,3.09,397.8,533.40,0.0,0.0, , ,533.68,-7.4,1.41, , 
,533.98,768,28.2,3.09,418.2,534.28,0.0,0.0, , ,534.59,-7.8,1.45, , 
,534.89,800,28.2,3.09,418.2,535.21,0.0,0.0, , ,535.52,-8.6,1.41, , 
,535.82,768,26.7,3.09,397.8,536.12,0.0,0.0, , ,536.41,-9.4,1.48, , 
,536.71,800,28.2,3.09,418.2,537.02,0.0,0.0, , ,537.32,-8.2,1.52, , 
,537.63,768,28.2,3.09,418.2,537.93,0.0,0.0, , ,538.23,-8.6,1.41, , 
,538.52,768,28.2,3.09,418.2,538.82,0.0,0.0, , ,539.12,-9.0,1.52, , 
,539.43,800,28.2,3.09,418.2,539.71,0.0,0.0, , ,540.01,-7.4,1.52, , 
,540.30,800,28.2,3.09,418.2,540.61,0.0,0.0, , ,540.91,-7.4,1.45, , 
,541.21,768,26.7,3.09,397.8,541.50,0.0,0.0, , ,541.80,-7.8,1.45, , 
,542.09,800,28.2,3.09,418.2,542.39,0.0,0.0, , ,542.70,-8.2,1.45, , 
,543.01,768,28.2,3.09,418.2,543.29,0.0,0.0, , ,543.59,-9.0,1.45, , 
,543.88,800,26.7,3.09,397.8,544.19,0.0,0.0, , ,544.51,0.0,1.52, , 
