
Środa,19,Sierpień,2026,16:34:43:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:, Zatrzymany
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,,,,
,205.09,1984,88.5,-7.0,11101011,204.74,1952,84.3,13.39,928.2,,,,,
,205.80,2016,88.5,-10.2,11101001,205.45,2016,71.0,9.27,826.2,,,,,
,206.49,2016,88.5,0.0,11101001,206.14,2016,54.5,7.21,632.4,,,,,
,207.17,2016,87.0,-0.4,11101001,206.83,2016,40.0,5.15,479.4,,,,,
,207.88,2016,87.0,0.8,11101001,207.52,2016,47.1,6.18,571.2,,,,,
,208.60,2016,87.0,-0.4,11101001,208.23,2016,50.2,7.21,591.6,,,,,
,209.29,2048,87.0,-1.2,11101001,208.94,2048,53.3,7.21,632.4,,,,,
,210.01,2048,87.0,-0.4,11101001,209.66,2048,51.8,7.21,612.0,,,,,
,210.73,2080,87.0,0.0,11101001,210.37,2080,51.8,7.21,612.0,,,,,
,211.44,2080,87.0,0.0,11101001,211.08,2080,51.8,7.21,591.6,,,,,
,212.15,2080,87.0,0.4,11101001,211.79,2080,50.2,7.21,591.6,,,,,
,212.83,2080,87.0,-0.4,11101001,212.50,2112,42.7,6.18,499.8,,,,,
,213.53,2080,87.0,-3.5,11101001,213.17,2080,35.3,5.15,438.6,,,,,
,214.23,2048,87.0,-5.1,11101001,213.88,2080,35.3,5.15,438.6,,,,,
,214.94,2048,87.0,-6.3,11101001,214.59,2048,35.3,4.12,438.6,,,,,
,215.65,2016,87.0,-5.1,11101001,215.28,2048,36.9,5.15,459.0,,,,,
,216.35,2048,87.0,-2.3,11101001,216.00,2048,48.6,6.18,571.2,,,,,
,217.05,2048,87.0,-0.4,11101001,216.69,2048,48.6,6.18,571.2,,,,,
,217.73,2048,87.0,2.0,11101001,217.38,2080,48.6,7.21,571.2,,,,,
,218.42,2080,87.0,2.7,11101001,218.07,2080,48.6,7.21,571.2,,,,,
,219.11,2080,88.5,4.3,11101001,218.76,2080,47.1,7.21,571.2,,,,,
,219.79,2080,88.5,5.1,11101001,219.46,2080,47.1,7.21,571.2,,,,,
,220.51,2080,88.5,4.7,11101001,220.15,2080,47.1,7.21,571.2,,,,,
,221.23,2080,88.5,4.7,11101001,220.88,2080,47.1,7.21,571.2,,,,,
,221.93,2112,88.5,4.7,11101001,221.60,2112,47.1,7.21,571.2,,,,,
,222.61,2112,88.5,4.3,11101001,222.27,2112,47.1,7.21,571.2,,,,,
,223.33,2112,88.5,3.9,11101001,222.97,2112,47.1,7.21,550.8,,,,,
,224.04,2144,88.5,0.8,11101001,223.68,2112,51.8,8.24,591.6,,,,,
,224.76,2144,88.5,0.0,11101001,224.40,2144,54.5,8.24,632.4,,,,,
,225.46,2176,88.5,0.0,11101001,225.11,2144,53.3,7.21,612.0,,,,,
,226.14,2208,88.5,0.4,11101001,225.79,2176,50.2,7.21,591.6,,,,,
,226.85,2240,88.5,1.2,11101001,226.49,2240,50.2,7.21,591.6,,,,,
,227.52,2272,88.5,2.3,11101001,227.20,2240,48.6,7.21,571.2,,,,,
,228.20,2272,88.5,1.6,11101001,227.85,2272,44.3,6.18,520.2,,,,,
,228.88,2336,88.5,0.4,11101001,228.55,2304,50.2,7.21,591.6,,,,,
,229.56,2400,88.5,-3.5,11101001,229.22,2368,60.4,9.27,673.2,,,,,
,230.27,2496,88.5,-7.4,11101001,229.92,2432,72.2,10.30,795.6,,,,,
,230.95,2208,88.5,0.0,11111101,230.60,2528,69.4,9.27,754.8,,,,,
,231.58,1280,88.5,0.0,11111111,231.26,1696,0.0,0.00,316.2,,,,,
,232.31,1824,88.5,0.0,11111111,231.96,1504,20.8,3.09,316.2,,,,,
,232.97,1792,88.5,0.0,11101011,232.63,1792,19.2,3.09,295.8,,,,,
,233.68,1792,88.5,0.0,11101011,233.33,1856,26.7,4.12,357.0,,,,,
,234.40,1824,88.5,0.0,11101011,234.04,1824,54.5,8.24,632.4,,,,,
,235.13,1824,88.5,0.4,11101011,234.75,1824,54.5,7.21,632.4,,,,,
,235.88,1856,88.5,0.8,11101011,235.51,1856,53.3,7.21,632.4,,,,,
,236.60,1888,88.5,0.0,11101011,236.23,1888,53.3,7.21,632.4,,,,,
,237.31,1888,88.5,-2.0,11101011,236.96,1888,51.8,7.21,612.0,,,,,
,238.04,1920,88.5,-2.0,11101011,237.67,1920,50.2,7.21,612.0,,,,,
,238.78,1952,88.5,-1.6,11101011,238.41,1920,50.2,7.21,591.6,,,,,
,239.53,1952,88.5,-0.8,11101011,239.16,1952,50.2,7.21,591.6,,,,,
,240.26,1952,88.5,0.0,11101011,239.89,1952,50.2,7.21,591.6,,,,,
,240.98,1952,88.5,0.8,11101011,240.63,1984,48.6,7.21,591.6,,,,,
,241.72,1984,88.5,1.2,11101011,241.36,1984,48.6,7.21,591.6,,,,,
,242.42,1984,88.5,1.6,11101001,242.08,1984,48.6,7.21,571.2,,,,,
,243.14,1984,88.5,2.3,11101011,242.78,1984,48.6,7.21,591.6,,,,,
,243.87,1984,88.5,0.0,11101011,243.50,1984,47.1,6.18,571.2,,,,,
,244.60,1920,88.5,-6.3,11101011,244.23,1952,26.7,4.12,357.0,,,,,
,245.35,1920,88.5,-8.6,11101011,244.96,1920,25.1,3.09,357.0,,,,,
,246.12,1888,88.5,-10.5,11101011,245.75,1888,26.7,3.09,357.0,,,,,
,246.87,1856,88.5,-11.3,11101011,246.50,1888,28.2,3.09,377.4,,,,,
,247.58,1856,88.5,-2.7,11101011,247.24,1888,17.6,2.06,275.4,,,,,
,248.34,1856,88.5,-0.4,11101011,247.96,1824,17.6,2.06,275.4,,,,,
,249.08,1824,88.5,-3.1,11101011,248.72,1792,19.2,2.06,275.4,,,,,
,249.80,1824,88.5,-4.3,11101011,249.42,1792,19.2,2.06,295.8,,,,,
,250.54,1824,88.5,-4.3,11111111,250.19,1760,19.2,2.06,295.8,,,,,
,251.19,960,88.5,0.0,11111111,250.86,1440,0.0,0.00,336.6,,,,,
,251.82,1120,88.5,0.0,11111111,251.52,1120,26.7,4.12,377.4,,,,,
,252.46,1024,88.5,0.0,11111111,252.13,1088,22.0,3.09,336.6,,,,,
,253.04,928,88.5,0.0,11111111,252.74,960,22.0,3.09,336.6,,,,,
,253.66,896,88.5,0.0,11111111,253.35,896,23.5,3.09,357.0,,,,,
,254.24,896,88.5,-0.4,11111111,253.96,896,25.1,3.09,357.0,,,,,
,254.85,896,88.5,-0.4,11111111,254.53,896,25.1,3.09,377.4,,,,,
,255.46,896,88.5,0.0,11111111,255.15,896,25.1,3.09,357.0,,,,,
,256.06,896,88.5,0.4,11111111,255.76,896,25.1,3.09,357.0,,,,,
,256.72,896,88.5,0.8,11111111,256.39,864,25.1,3.09,377.4,,,,,
,257.34,896,88.5,1.2,11111111,257.03,896,25.1,3.09,377.4,,,,,
,257.98,896,88.5,1.6,11111111,257.65,896,25.1,3.09,377.4,,,,,
,258.61,896,88.5,1.2,11111111,258.28,896,25.1,3.09,377.4,,,,,
,259.29,1504,88.5,3.1,11101011,258.91,896,29.4,4.12,397.8,,,,,
,259.99,1568,88.5,2.3,11101011,259.66,1632,29.4,4.12,397.8,,,,,
,260.71,1632,88.5,0.0,11101011,260.36,1568,40.0,6.18,479.4,,,,,
,261.43,1760,88.5,3.1,11101011,261.08,1664,48.6,7.21,591.6,,,,,
,262.19,1856,88.5,4.3,11101011,261.81,1824,44.3,6.18,550.8,,,,,
,262.93,1952,88.5,0.4,11101011,262.55,1920,34.1,5.15,418.2,,,,,
,263.60,2048,88.5,0.8,11101001,263.27,1984,38.4,5.15,459.0,,,,,
,264.27,2208,88.5,-5.1,11101001,263.94,2112,59.2,8.24,673.2,,,,,
,264.96,2400,88.5,-5.1,11101001,264.60,2304,57.6,8.24,652.8,,,,,
,265.63,2080,88.5,0.0,11111101,265.28,2496,38.4,5.15,459.0,,,,,
,266.24,1280,88.5,0.0,11101011,265.94,1600,0.0,0.00,316.2,,,,,
,266.95,1696,88.5,0.0,11101011,266.60,1760,26.7,4.12,357.0,,,,,
,267.70,1760,88.5,-2.0,11101011,267.31,1760,32.5,4.12,418.2,,,,,
,268.46,1856,88.5,-3.1,11101011,268.09,1824,31.0,4.12,397.8,,,,,
,269.19,1920,88.5,-4.7,11101011,268.83,1888,29.4,4.12,397.8,,,,,
,269.91,1984,88.5,-2.7,11101001,269.55,1952,38.4,5.15,479.4,,,,,
,270.59,2080,88.5,-3.1,11101001,270.25,2016,35.3,5.15,459.0,,,,,
,271.30,2112,88.5,-5.1,11101001,270.95,2080,35.3,5.15,438.6,,,,,
,271.98,2208,88.5,-6.3,11101001,271.64,2176,34.1,4.12,438.6,,,,,
,272.64,2272,88.5,-6.3,11101001,272.31,2240,34.1,4.12,418.2,,,,,
,273.31,2336,88.5,-5.5,11101001,272.98,2304,34.1,4.12,418.2,,,,,
,274.07,2400,88.5,-3.5,11101001,273.69,2336,34.1,4.12,418.2,,,,,
,274.79,2464,88.5,-0.4,11101001,274.43,2432,40.0,5.15,459.0,,,,,
,275.47,2560,88.5,3.1,11101001,275.13,2496,45.9,6.18,550.8,,,,,
,276.14,2656,88.5,-0.8,11101001,275.82,2592,62.0,9.27,693.6,,,,,
,276.81,2816,88.5,-3.1,11101001,276.47,2752,75.3,11.33,826.2,,,,,
,277.52,2048,88.5,0.0,11111101,277.15,2560,0.0,0.00,316.2,,,,,
,278.21,2112,88.5,0.0,11101001,277.87,1888,19.2,3.09,295.8,,,,,
,278.88,2080,88.5,0.0,11101001,278.55,2112,14.9,2.06,244.8,,,,,
,279.56,2080,88.5,0.0,11101001,279.22,2080,25.1,3.09,336.6,,,,,
,280.25,2144,88.5,0.0,11101001,279.91,2144,57.6,8.24,652.8,,,,,
,280.93,2208,88.5,0.0,11101001,280.59,2176,85.5,14.42,928.2,,,,,
,281.62,2304,88.5,-5.1,11101001,281.28,2272,88.6,14.42,969.0,,,,,
,282.28,2368,88.5,-7.4,11101001,281.96,2336,90.2,13.39,969.0,,,,,
,282.95,2432,88.5,-8.2,11101001,282.61,2400,88.6,13.39,969.0,,,,,
,283.62,2496,88.5,-9.4,11101001,283.28,2464,88.6,13.39,969.0,,,,,
,284.29,2528,88.5,0.0,11111101,283.98,2528,88.6,13.39,969.0,,,,,
,284.95,2528,88.5,0.0,11111101,284.62,2496,19.2,2.06,275.4,,,,,
,285.63,2496,88.5,0.0,11111101,285.29,2496,0.0,0.00,275.4,,,,,
,286.30,2432,88.5,0.0,11111101,285.97,2464,0.0,0.00,244.8,,,,,
,286.96,2400,88.5,0.0,11111101,286.64,2432,0.0,0.00,244.8,,,,,
,287.61,2368,88.5,0.0,11111101,287.28,2368,0.0,0.00,244.8,,,,,
,288.25,2304,88.5,0.0,11111101,287.94,2336,0.0,0.00,244.8,,,,,
,288.90,2240,88.5,0.0,11111101,288.58,2272,0.0,0.00,244.8,,,,,
,289.57,2176,88.5,0.0,11111101,289.23,2208,0.0,0.00,244.8,,,,,
,290.23,2112,88.5,0.0,11111101,289.89,2176,0.0,0.00,275.4,,,,,
,290.96,2048,88.5,0.0,11111101,290.59,2080,0.0,0.00,244.8,,,,,
,291.67,1888,88.5,0.0,11111111,291.31,1984,0.0,0.00,244.8,,,,,
,292.38,1792,88.5,0.0,11111111,292.01,1856,0.0,0.00,295.8,,,,,
,293.07,1696,88.5,0.0,11111111,292.74,1728,0.0,0.00,316.2,,,,,
,293.69,1632,87.0,0.0,11111111,293.38,1664,0.0,0.00,316.2,,,,,
,294.36,1568,87.0,0.0,11101011,294.02,1600,22.0,3.09,316.2,,,,,
,295.04,1536,88.5,0.0,11101011,294.71,1536,22.0,3.09,316.2,,,,,
,295.72,1504,88.5,-5.5,11111111,295.37,1536,22.0,3.09,316.2,,,,,
,296.39,1120,88.5,0.0,11101011,296.10,1600,0.0,0.00,316.2,,,,,
,297.15,1920,88.5,0.0,11101011,296.79,1504,23.5,3.09,336.6,,,,,
,297.85,1920,88.5,0.0,11101011,297.50,1920,16.1,2.06,244.8,,,,,
,298.57,1824,88.5,-4.3,11101011,298.21,1856,19.2,2.06,275.4,,,,,
,299.30,1856,87.0,-5.1,11111111,298.92,1856,19.2,2.06,295.8,,,,,
,299.92,1760,87.0,0.0,11111111,299.60,1792,0.0,0.00,295.8,,,,,
,300.61,1728,87.0,0.0,11111111,300.26,1760,0.0,0.00,316.2,,,,,
,301.31,1664,88.5,0.0,11101011,300.96,1728,20.8,3.09,316.2,,,,,
,302.01,1664,87.0,0.0,11101011,301.68,1664,23.5,3.09,336.6,,,,,
,302.75,1664,87.0,-1.6,11101011,302.41,1664,26.7,3.09,357.0,,,,,
,303.50,1664,87.0,-0.8,11101011,303.12,1696,28.2,4.12,377.4,,,,,
,304.18,1664,87.0,-0.8,11101011,303.85,1664,28.2,4.12,377.4,,,,,
,304.92,1664,87.0,-0.8,11101011,304.56,1664,28.2,3.09,377.4,,,,,
,305.63,1696,87.0,-0.8,11101011,305.30,1696,28.2,4.12,377.4,,,,,
,306.35,1152,87.0,0.0,11111111,306.04,1632,0.0,0.00,377.4,,,,,
,306.94,1088,87.0,0.0,11111111,306.64,1024,26.7,4.12,377.4,,,,,
,307.54,1024,87.0,0.0,11111111,307.24,1088,23.5,3.09,357.0,,,,,
,308.18,896,87.0,0.0,11111111,307.87,960,22.0,3.09,336.6,,,,,
,308.79,896,87.0,0.0,11111111,308.49,864,25.1,3.09,377.4,,,,,
,309.39,864,87.0,-0.4,11111111,309.09,864,25.1,3.09,377.4,,,,,
,309.99,896,87.0,-0.4,11111111,309.68,896,25.1,3.09,377.4,,,,,
,310.62,1152,87.0,1.2,11101011,310.31,960,25.1,3.09,377.4,,,,,
,311.25,1216,87.0,0.0,11101011,310.95,1184,26.7,3.09,357.0,,,,,
,311.89,1184,87.0,0.0,11101011,311.57,1248,44.3,6.18,550.8,,,,,
,312.53,1312,87.0,3.5,11101011,312.20,1312,44.3,6.18,550.8,,,,,
,313.23,1408,87.0,0.0,11101011,312.86,1344,44.3,6.18,550.8,,,,,
,313.98,1600,87.0,-0.8,11101011,313.64,1472,59.2,8.24,693.6,,,,,
,314.72,1792,87.0,-3.5,11101011,314.35,1664,67.8,10.30,775.2,,,,,
,315.44,1984,87.0,-5.5,11101001,315.08,1888,62.0,8.24,714.0,,,,,
,316.12,2144,87.0,-4.7,11101001,315.78,2080,57.6,8.24,652.8,,,,,
,316.79,2336,87.0,-7.0,11101001,316.45,2240,65.1,9.27,714.0,,,,,
,317.48,2080,87.0,0.0,11111101,317.14,2464,63.5,8.24,734.4,,,,,
,318.15,1216,87.0,0.0,11101011,317.82,1600,0.0,0.00,336.6,,,,,
,318.85,1632,87.0,0.0,11101011,318.50,1664,25.1,4.12,336.6,,,,,
,319.51,1600,87.0,0.0,11101011,319.17,1632,35.3,5.15,438.6,,,,,
,320.24,1664,87.0,3.1,11101011,319.87,1632,38.4,5.15,479.4,,,,,
,320.92,1728,87.0,4.3,11101011,320.56,1696,38.4,5.15,479.4,,,,,
,321.63,1728,87.0,5.1,11101011,321.27,1728,38.4,5.15,479.4,,,,,
,322.33,1792,87.0,5.5,11101011,322.01,1760,36.9,5.15,459.0,,,,,
,323.01,1248,87.0,0.0,11111111,322.68,1728,0.0,0.00,418.2,,,,,
,323.65,1152,87.0,0.0,11111111,323.33,1120,26.7,4.12,377.4,,,,,
,324.28,1056,87.0,0.0,11111111,323.97,1120,22.0,3.09,336.6,,,,,
,324.90,896,87.0,0.0,11111111,324.59,960,22.0,3.09,336.6,,,,,
,325.52,864,87.0,0.0,11111111,325.21,864,23.5,3.09,357.0,,,,,
,326.11,896,87.0,0.0,11111111,325.81,864,25.1,3.09,377.4,,,,,
,326.74,896,87.0,0.4,11111111,326.42,896,25.1,3.09,377.4,,,,,
,327.35,896,87.0,1.6,11111111,327.04,896,25.1,3.09,377.4,,,,,
,327.94,896,87.0,2.7,11111111,327.64,896,25.1,3.09,377.4,,,,,
,328.53,896,87.0,3.1,11111111,328.24,864,25.1,3.09,377.4,,,,,
,329.16,896,87.0,3.1,11111111,328.84,864,25.1,3.09,377.4,,,,,
,329.78,896,87.0,2.7,11111111,329.47,864,25.1,3.09,377.4,,,,,
,330.38,896,87.0,2.7,11111111,330.08,864,25.1,3.09,377.4,,,,,
,330.98,896,87.0,2.3,11111111,330.67,896,25.1,3.09,377.4,,,,,
,331.56,864,87.0,2.0,11111111,331.26,864,25.1,3.09,377.4,,,,,
,332.18,896,87.0,1.6,11111111,331.88,864,25.1,3.09,377.4,,,,,
,332.77,896,87.0,1.2,11111111,332.48,896,25.1,3.09,377.4,,,,,
,333.35,896,87.0,1.2,11111111,333.05,896,25.1,3.09,377.4,,,,,
,333.96,864,87.0,1.2,11111111,333.66,896,25.1,3.09,377.4,,,,,
,334.58,896,87.0,1.2,11111111,334.26,896,25.1,3.09,377.4,,,,,
,335.21,896,87.0,1.6,11111111,334.89,864,25.1,3.09,377.4,,,,,
,335.80,864,87.0,1.2,11111111,335.50,864,25.1,3.09,377.4,,,,,
,336.37,864,87.0,0.8,11111111,336.10,896,25.1,3.09,377.4,,,,,
,336.99,896,87.0,0.8,11111111,336.68,896,25.1,3.09,377.4,,,,,
,337.61,896,87.0,0.8,11111111,337.29,896,25.1,3.09,377.4,,,,,
,338.21,864,88.5,0.4,11111111,337.91,896,25.1,3.09,377.4,,,,,
,338.80,800,88.5,0.4,11111111,338.50,864,23.5,3.09,357.0,,,,,
,339.36,736,88.5,-0.4,11111111,339.07,736,25.1,3.09,377.4,,,,,
,339.98,800,88.5,-1.2,11111111,339.67,800,28.2,3.09,418.2,,,,,
,340.57,768,88.5,-1.2,11111111,340.28,768,26.7,3.09,397.8,,,,,
,341.17,736,88.5,0.0,11101011,340.88,768,28.2,3.09,397.8,,,,,
,341.84,1344,88.5,0.0,11111111,341.50,992,38.4,5.15,520.2,,,,,
,342.48,1280,88.5,0.0,11111111,342.15,1344,22.0,3.09,316.2,,,,,
,343.06,992,88.5,-2.0,11111111,342.80,1152,22.0,3.09,316.2,,,,,
,343.68,800,88.5,0.0,11101011,343.37,896,22.0,3.09,336.6,,,,,
,344.39,2272,88.5,0.0,11101001,344.04,1248,78.4,11.33,948.6,,,,,
,345.06,1408,88.5,0.0,11101011,344.74,1312,38.4,5.15,459.0,,,,,
,345.80,1440,87.0,0.0,11111111,345.44,1408,28.2,3.09,377.4,,,,,
,346.49,1504,87.0,-5.1,11111111,346.19,1472,22.0,3.09,316.2,,,,,
,347.15,1344,87.0,-5.9,11111111,346.82,1472,22.0,3.09,316.2,,,,,
,347.74,992,87.0,-5.5,11111111,347.47,1152,23.5,3.09,336.6,,,,,
,348.31,864,87.0,-6.3,11111111,348.02,928,23.5,3.09,357.0,,,,,
,348.94,896,87.0,-5.5,11111111,348.63,864,26.7,3.09,377.4,,,,,
,349.52,896,87.0,-4.3,11111111,349.23,864,26.7,3.09,397.8,,,,,
,350.12,800,87.0,-3.1,11111111,349.81,864,25.1,3.09,377.4,,,,,
,350.72,768,87.0,-2.3,11111111,350.43,768,26.7,3.09,397.8,,,,,
,351.32,800,87.0,-1.2,11111111,351.03,800,28.2,3.09,418.2,,,,,
,351.91,800,87.0,-0.4,11111111,351.61,800,28.2,3.09,397.8,,,,,
,352.51,736,87.0,0.4,11101011,352.20,800,26.7,3.09,397.8,,,,,
,353.10,736,87.0,0.0,11101011,352.81,672,40.0,5.15,499.8,,,,,
,353.66,992,87.0,0.0,11111111,353.37,896,40.0,5.15,520.2,,,,,
,354.30,1024,88.5,-0.8,11111111,354.00,992,23.5,3.09,357.0,,,,,
,354.91,960,87.0,-3.5,11111111,354.61,1024,20.8,2.06,316.2,,,,,
,355.50,736,87.0,-5.9,11111111,355.21,864,22.0,2.06,336.6,,,,,
,356.14,768,88.5,-8.2,11111111,355.84,704,28.2,3.09,397.8,,,,,
,356.74,768,88.5,-7.4,11111111,356.43,768,28.2,3.09,418.2,,,,,
,357.33,800,88.5,-5.5,11111111,357.03,800,28.2,3.09,418.2,,,,,
,357.92,768,88.5,-4.3,11111111,357.63,800,26.7,3.09,397.8,,,,,
,358.55,800,88.5,-2.7,11101011,358.23,768,26.7,3.09,397.8,,,,,
,359.16,896,88.5,0.8,11101011,358.86,832,34.1,4.12,459.0,,,,,
,359.78,896,88.5,3.5,11111111,359.47,928,34.1,4.12,459.0,,,,,
,360.47,992,88.5,1.6,11111111,360.11,896,26.7,3.09,397.8,,,,,
,361.10,864,88.5,-2.3,11111111,360.78,960,22.0,3.09,336.6,,,,,
,361.67,736,88.5,-6.3,11111111,361.36,736,23.5,3.09,377.4,,,,,
,362.26,768,88.5,-8.6,11111111,361.98,768,28.2,3.09,418.2,,,,,
,362.85,768,88.5,-7.4,11111111,362.54,800,28.2,3.09,418.2,,,,,
,363.45,800,88.5,-5.5,11111111,363.14,768,28.2,3.09,418.2,,,,,
,364.07,800,88.5,-3.5,11111111,363.77,768,28.2,3.09,397.8,,,,,
,364.68,768,88.5,-2.7,11111111,364.37,800,28.2,3.09,397.8,,,,,
,365.27,800,88.5,-2.0,11111111,364.99,800,26.7,3.09,397.8,,,,,
,365.86,800,88.5,-2.3,11111111,365.56,800,25.1,3.09,377.4,,,,,
,366.47,800,88.5,-3.5,11111111,366.16,768,25.1,3.09,377.4,,,,,
,367.09,800,88.5,-4.3,11111111,366.78,800,25.1,3.09,377.4,,,,,
,367.72,800,88.5,-4.7,11111111,367.40,800,25.1,3.09,377.4,,,,,
