Niedziela,23,Sierpień,2026,18:24:09:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , 
,232.34,768,94.5,2.0,00111111,232.66,768,25.1,3.09,377.4,232.05,0.0,0.0, , 
,233.26,768,94.5,1.6,00111111,233.55,768,25.1,3.09,397.8,232.96,0.0,0.0, , 
,234.15,768,94.5,2.0,00111111,234.44,768,25.1,3.09,397.8,233.85,0.0,0.0, , 
,235.04,768,94.5,2.7,00111111,235.35,768,25.1,3.09,397.8,234.73,0.0,0.0, , 
,235.94,768,94.5,2.0,00111111,236.25,800,25.1,3.09,397.8,235.64,0.0,0.0, , 
,236.86,768,96.0,1.6,00111111,237.16,800,25.1,3.09,397.8,236.56,0.0,0.0, , 
,237.76,800,96.0,2.0,00111111,238.05,768,25.1,3.09,397.8,237.45,0.0,0.0, , 
,238.65,800,94.5,2.0,00111111,238.96,800,25.1,3.09,397.8,238.35,0.0,0.0, , 
,239.55,800,94.5,2.0,00111111,239.85,800,25.1,3.09,397.8,239.25,0.0,0.0, , 
,240.45,800,94.5,2.3,00111111,240.75,768,25.1,3.09,397.8,240.14,0.0,0.0, , 
,241.32,800,96.0,2.3,00111111,241.63,768,25.1,3.09,397.8,241.04,0.0,0.0, , 
,242.25,800,96.0,2.3,00111111,242.54,768,25.1,3.09,377.4,241.92,0.0,0.0, , 
,243.14,800,96.0,2.3,00111111,243.45,800,25.1,3.09,377.4,242.84,0.0,0.0, , 
,244.04,768,96.0,2.3,00111111,244.34,768,25.1,3.09,397.8,243.74,0.0,0.0, , 
,244.95,768,96.0,2.3,00111111,245.25,768,25.1,3.09,397.8,244.64,0.0,0.0, , 
,245.83,768,96.0,2.3,00111111,246.13,800,25.1,3.09,397.8,245.54,0.0,0.0, , 
,246.73,800,96.0,2.3,00111111,247.03,800,25.1,3.09,397.8,246.42,0.0,0.0, , 
,247.63,768,96.0,2.3,00111111,247.93,800,25.1,3.09,397.8,247.33,0.0,0.0, , 
,248.53,800,96.0,2.3,00111111,248.83,768,25.1,3.09,397.8,248.23,0.0,0.0, , 
,249.43,800,96.0,2.7,00111111,249.73,800,25.1,3.09,397.8,249.12,0.0,0.0, , 
,250.34,768,96.0,2.7,00111111,250.64,800,25.1,3.09,397.8,250.04,0.0,0.0, , 
,251.25,768,96.0,2.7,00111111,251.54,768,25.1,3.09,397.8,250.94,0.0,0.0, , 
,252.15,800,96.0,2.7,00111111,252.45,768,25.1,3.09,397.8,251.85,0.0,0.0, , 
,253.07,800,94.5,2.3,00111111,253.37,800,25.1,3.09,397.8,252.76,0.0,0.0, , 
,253.97,768,94.5,2.3,00111111,254.29,768,25.1,3.09,397.8,253.68,0.0,0.0, , 
,254.87,800,94.5,2.3,00111111,255.17,768,25.1,3.09,397.8,254.58,0.0,0.0, , 
,255.77,800,94.5,2.0,00111111,256.06,800,25.1,3.09,397.8,255.47,0.0,0.0, , 
,256.67,768,94.5,2.3,00111111,256.98,800,25.1,3.09,397.8,256.36,0.0,0.0, , 
,257.56,800,94.5,2.7,00111111,257.87,800,25.1,3.09,397.8,257.27,0.0,0.0, , 
,258.47,768,94.5,2.7,00111111,258.76,800,25.1,3.09,397.8,258.18,0.0,0.0, , 
,259.36,768,94.5,2.7,00111111,259.67,768,25.1,3.09,397.8,259.06,0.0,0.0, , 
,260.27,800,94.5,2.3,00111111,260.57,800,25.1,3.09,377.4,259.97,0.0,0.0, , 
,261.17,800,94.5,2.3,00111111,261.48,800,25.1,3.09,377.4,260.87,0.0,0.0, , 
,262.09,800,94.5,2.3,00111111,262.39,800,25.1,3.09,377.4,261.79,0.0,0.0, , 
,262.99,800,94.5,2.3,00111111,263.28,800,25.1,3.09,377.4,262.70,0.0,0.0, , 
,263.86,768,94.5,2.0,00111111,264.15,768,25.1,3.09,377.4,263.57,0.0,0.0, , 
,264.74,768,94.5,2.0,00111111,265.02,768,25.1,3.09,377.4,264.44,0.0,0.0, , 
,265.62,800,94.5,2.0,00111111,265.92,800,23.5,3.09,377.4,265.32,0.0,0.0, , 
,266.52,800,93.0,2.0,00111111,266.82,768,25.1,3.09,377.4,266.22,0.0,0.0, , 
,267.41,800,93.0,2.0,00111111,267.71,768,25.1,3.09,377.4,267.10,0.0,0.0, , 
,268.30,768,93.0,2.3,00111111,268.59,768,25.1,3.09,377.4,268.00,0.0,0.0, , 
,269.21,800,93.0,2.7,00111111,269.51,800,25.1,3.09,377.4,268.90,0.0,0.0, , 
,270.10,800,93.0,2.7,00111111,270.39,800,25.1,3.09,377.4,269.81,0.0,0.0, , 
,271.01,800,93.0,2.7,00111111,271.31,800,25.1,3.09,377.4,270.69,0.0,0.0, , 
,271.90,800,91.5,2.7,00111111,272.20,768,25.1,3.09,377.4,271.60,0.0,0.0, , 
,272.80,800,91.5,2.7,00111111,273.10,768,25.1,3.09,377.4,272.50,0.0,0.0, , 
,273.70,800,91.5,2.3,00111111,274.00,768,25.1,3.09,377.4,273.40,0.0,0.0, , 
,274.61,768,91.5,2.3,00111111,274.90,768,25.1,3.09,377.4,274.30,0.0,0.0, , 
,275.51,768,91.5,2.3,00111111,275.82,768,25.1,3.09,377.4,275.20,0.0,0.0, , 
,276.41,800,91.5,2.3,00111111,276.69,800,25.1,3.09,377.4,276.11,0.0,0.0, , 
,277.26,768,91.5,2.7,00111111,277.56,800,23.5,3.09,377.4,276.97,0.0,0.0, , 
,278.18,800,91.5,2.7,00111111,278.48,768,23.5,3.09,377.4,277.87,0.0,0.0, , 
,279.09,800,91.5,2.3,00111111,279.39,768,23.5,3.09,377.4,278.79,0.0,0.0, , 
,279.99,768,91.5,2.7,00111111,280.30,768,23.5,3.09,377.4,279.69,0.0,0.0, , 
,280.89,768,91.5,2.7,00111111,281.20,800,25.1,3.09,377.4,280.60,0.0,0.0, , 
,281.80,800,91.5,2.3,00111111,282.10,800,25.1,3.09,377.4,281.50,0.0,0.0, , 
,282.71,768,91.5,2.3,00111111,283.00,800,25.1,3.09,377.4,282.41,0.0,0.0, , 
,283.61,768,91.5,2.7,00111111,283.91,768,23.5,3.09,377.4,283.31,0.0,0.0, , 
,284.50,800,91.5,2.3,00111111,284.81,768,25.1,3.09,377.4,284.21,0.0,0.0, , 
,285.41,800,91.5,2.3,00111111,285.72,768,25.1,3.09,377.4,285.11,0.0,0.0, , 
,286.32,800,91.5,2.3,00111111,286.61,768,23.5,3.09,377.4,286.01,0.0,0.0, , 
,287.20,800,91.5,2.3,00111111,287.52,768,23.5,3.09,377.4,286.91,0.0,0.0, , 
,288.12,768,91.5,2.3,00111111,288.43,768,25.1,3.09,377.4,287.81,0.0,0.0, , 
,289.02,768,91.5,2.3,00111111,289.34,800,23.5,3.09,377.4,288.72,0.0,0.0, , 
,289.92,768,91.5,2.3,00111111,290.22,800,25.1,3.09,377.4,289.63,0.0,0.0, , 
,290.82,800,91.5,2.3,00111111,291.11,800,23.5,3.09,377.4,290.53,0.0,0.0, , 
,291.69,800,91.5,2.3,00111111,291.99,768,23.5,3.09,377.4,291.40,0.0,0.0, , 
,292.58,800,91.5,2.3,00111111,292.89,800,23.5,3.09,377.4,292.29,0.0,0.0, , 
,293.48,800,93.0,2.3,00111111,293.79,768,23.5,3.09,377.4,293.18,0.0,0.0, , 
,294.39,800,91.5,2.3,00111111,294.69,800,23.5,3.09,377.4,294.08,0.0,0.0, , 
,295.29,768,93.0,2.0,00111111,295.58,768,25.1,3.09,377.4,294.99,0.0,0.0, , 
,296.17,768,93.0,2.3,00111111,296.47,768,25.1,3.09,377.4,295.88,0.0,0.0, , 
,297.06,768,93.0,2.3,00111111,297.36,768,25.1,3.09,377.4,296.77,0.0,0.0, , 
,297.94,800,93.0,2.3,00111111,298.23,768,25.1,3.09,397.8,297.65,0.0,0.0, , 
,298.83,800,93.0,2.7,00111111,299.13,800,25.1,3.09,377.4,298.53,0.0,0.0, , 
,299.72,800,93.0,3.1,00111111,300.02,800,25.1,3.09,377.4,299.42,0.0,0.0, , 
,300.61,800,93.0,3.1,00111111,300.90,800,25.1,3.09,377.4,300.32,0.0,0.0, , 
,301.51,800,93.0,0.8,00111111,301.83,800,23.5,3.09,377.4,301.22,0.0,0.0, , 
,302.42,800,93.0,-7.8,00111111,302.72,768,23.5,3.09,377.4,302.13,0.0,0.0, , 
,303.33,768,93.0,-12.1,00111111,303.65,768,25.1,3.09,377.4,303.02,0.0,0.0, , 
,304.22,800,93.0,-12.1,00111111,304.52,800,25.1,3.09,377.4,303.93,0.0,0.0, , 
,305.11,800,93.0,-10.9,00111111,305.40,800,25.1,3.09,377.4,304.82,0.0,0.0, , 
,305.97,800,93.0,-10.5,00111111,306.27,800,25.1,3.09,377.4,305.68,0.0,0.0, , 
,306.86,800,93.0,-10.9,00111111,307.16,800,25.1,3.09,377.4,306.57,0.0,0.0, , 
,307.75,800,93.0,-12.5,00111111,308.05,768,25.1,3.09,377.4,307.46,0.0,0.0, , 
,308.63,768,93.0,-12.9,00111111,308.93,768,25.1,3.09,377.4,308.34,0.0,0.0, , 
,309.50,800,94.5,-11.7,00111111,309.80,768,25.1,3.09,377.4,309.21,0.0,0.0, , 
,310.40,768,93.0,-9.8,00111111,310.69,800,25.1,3.09,377.4,310.09,0.0,0.0, , 
,311.29,768,93.0,-7.8,00111111,311.58,768,25.1,3.09,397.8,310.99,0.0,0.0, , 
,312.17,768,93.0,-6.3,00111111,312.47,800,25.1,3.09,377.4,311.88,0.0,0.0, , 
,313.06,800,94.5,-5.5,00111111,313.36,800,25.1,3.09,377.4,312.77,0.0,0.0, , 
,313.96,800,94.5,-5.1,00111111,314.25,800,25.1,3.09,377.4,313.66,0.0,0.0, , 
,314.86,800,94.5,-5.1,00111111,315.15,800,25.1,3.09,377.4,314.56,0.0,0.0, , 
,315.76,800,94.5,-5.1,00111111,316.08,768,25.1,3.09,377.4,315.45,0.0,0.0, , 
,316.68,800,94.5,-5.1,00111111,316.97,768,25.1,3.09,377.4,316.38,0.0,0.0, , 
,317.58,800,94.5,-5.1,00111111,317.87,768,23.5,3.09,377.4,317.28,0.0,0.0, , 
,318.47,768,94.5,-5.5,00111111,318.77,800,23.5,3.09,377.4,318.18,0.0,0.0, , 
,319.36,768,94.5,-5.9,00111111,319.66,768,23.5,3.09,377.4,319.07,0.0,0.0, , 
,320.24,768,94.5,-6.3,00111111,320.53,800,25.1,3.09,377.4,319.95,0.0,0.0, , 
,321.12,800,94.5,-6.3,00111111,321.43,800,25.1,3.09,377.4,320.82,0.0,0.0, , 
,322.03,800,94.5,-5.9,00111111,322.34,800,25.1,3.09,377.4,321.74,0.0,0.0, , 
,322.95,768,94.5,-5.9,00111111,323.26,768,25.1,3.09,377.4,322.64,0.0,0.0, , 
,323.87,768,94.5,-6.3,00111111,324.17,768,25.1,3.09,377.4,323.57,0.0,0.0, , 
,324.77,768,94.5,-6.6,00111111,325.07,768,25.1,3.09,377.4,324.47,0.0,0.0, , 
,325.66,768,94.5,-6.3,00111111,325.94,800,25.1,3.09,377.4,325.36,0.0,0.0, , 
,326.56,768,94.5,-6.6,00111111,326.87,768,25.1,3.09,377.4,326.23,0.0,0.0, , 
,327.49,800,94.5,-6.6,00111111,327.79,768,25.1,3.09,377.4,327.19,0.0,0.0, , 
,328.36,768,94.5,-6.6,00111111,328.66,768,25.1,3.09,377.4,328.07,0.0,0.0, , 
,329.26,768,94.5,-6.6,00111111,329.58,768,25.1,3.09,377.4,328.96,0.0,0.0, , 
,330.19,800,94.5,-6.6,00111111,330.47,800,23.5,3.09,377.4,329.87,0.0,0.0, , 
,331.07,768,94.5,-7.0,00111111,331.36,800,23.5,3.09,377.4,330.77,0.0,0.0, , 
,331.95,800,94.5,-7.0,00111111,332.26,800,23.5,3.09,377.4,331.66,0.0,0.0, , 
,332.85,800,94.5,-7.0,00111111,333.13,800,23.5,3.09,377.4,332.58,0.0,0.0, , 
,333.71,800,94.5,-7.0,00111111,334.00,800,23.5,3.09,377.4,333.43,0.0,0.0, , 
,334.61,800,94.5,-7.0,00111111,334.91,800,23.5,3.09,377.4,334.30,0.0,0.0, , 
,335.50,800,94.5,-7.0,00111111,335.80,800,25.1,3.09,377.4,335.21,0.0,0.0, , 
,336.38,800,94.5,-7.0,00111111,336.66,800,23.5,3.09,377.4,336.10,0.0,0.0, , 
,337.26,768,94.5,-7.0,00111111,337.57,800,25.1,3.09,377.4,336.97,0.0,0.0, , 
,338.17,768,94.5,-7.0,00111111,338.46,768,25.1,3.09,377.4,337.86,0.0,0.0, , 
,339.05,800,94.5,-7.4,00111111,339.34,800,23.5,3.09,377.4,338.75,0.0,0.0, , 
,339.97,768,94.5,-7.4,00111111,340.27,800,23.5,3.09,377.4,339.66,0.0,0.0, , 
,340.87,800,94.5,-7.4,00111111,341.17,800,23.5,3.09,377.4,340.58,0.0,0.0, , 
,341.78,800,94.5,-7.4,00111111,342.08,800,23.5,3.09,377.4,341.48,0.0,0.0, , 
,342.67,800,94.5,-7.0,00111111,342.97,800,23.5,3.09,377.4,342.38,0.0,0.0, , 
,343.57,800,94.5,-7.0,00111111,343.86,800,25.1,3.09,377.4,343.27,0.0,0.0, , 
,344.46,800,94.5,-7.0,00111111,344.76,800,23.5,3.09,377.4,344.16,0.0,0.0, , 
,345.33,768,94.5,-7.4,00111111,345.62,800,23.5,3.09,377.4,345.04,0.0,0.0, , 
,346.20,768,94.5,-7.4,00111111,346.49,768,23.5,3.09,377.4,345.90,0.0,0.0, , 
,347.10,768,94.5,-7.4,00111111,347.40,768,25.1,3.09,377.4,346.80,0.0,0.0, , 
,348.01,768,94.5,-7.4,00111111,348.30,768,25.1,3.09,377.4,347.71,0.0,0.0, , 
,348.88,768,94.5,-7.4,00111111,349.17,768,25.1,3.09,377.4,348.59,0.0,0.0, , 
,349.78,800,94.5,-7.4,00111111,350.08,768,25.1,3.09,377.4,349.47,0.0,0.0, , 
,350.68,768,94.5,-7.4,00111111,350.97,800,23.5,3.09,377.4,350.38,0.0,0.0, , 
,351.58,768,96.0,-7.0,00111111,351.89,768,23.5,3.09,377.4,351.28,0.0,0.0, , 
,352.47,768,96.0,-7.0,00111111,352.75,800,25.1,3.09,397.8,352.17,0.0,0.0, , 
,353.37,768,96.0,-7.0,00111111,353.68,800,25.1,3.09,397.8,353.05,0.0,0.0, , 
,354.31,768,96.0,-7.0,00111111,354.62,768,25.1,3.09,377.4,353.98,0.0,0.0, , 
,355.22,768,96.0,-7.8,00111111,355.52,768,25.1,3.09,397.8,354.91,0.0,0.0, , 
,356.12,800,96.0,-8.2,00111111,356.42,800,25.1,3.09,397.8,355.82,0.0,0.0, , 
,357.00,768,96.0,-8.2,00111111,357.30,768,25.1,3.09,397.8,356.71,0.0,0.0, , 
,357.89,800,96.0,-7.4,00111111,358.18,768,25.1,3.09,397.8,357.59,0.0,0.0, , 
,358.79,800,96.0,-7.0,00111111,359.10,768,25.1,3.09,377.4,358.48,0.0,0.0, , 
,359.71,768,96.0,-7.0,00111111,360.01,768,25.1,3.09,397.8,359.40,0.0,0.0, , 
,360.61,800,96.0,-6.6,00111111,360.90,768,25.1,3.09,397.8,360.31,0.0,0.0, , 
,361.50,800,94.5,-6.6,00111111,361.82,768,25.1,3.09,397.8,361.20,0.0,0.0, , 
,362.41,800,96.0,-6.6,00111111,362.70,768,25.1,3.09,397.8,362.11,0.0,0.0, , 
,363.30,800,96.0,-6.6,00111111,363.60,768,25.1,3.09,397.8,363.01,0.0,0.0, , 
,364.20,768,96.0,-6.6,00111111,364.51,768,25.1,3.09,377.4,363.89,0.0,0.0, , 
,365.11,768,96.0,-7.0,00111111,365.42,768,25.1,3.09,397.8,364.82,0.0,0.0, , 
,366.02,768,96.0,-7.0,00111111,366.32,768,25.1,3.09,397.8,365.72,0.0,0.0, , 
,366.92,768,96.0,-7.0,00111111,367.21,768,25.1,3.09,397.8,366.62,0.0,0.0, , 
,367.82,768,96.0,-7.0,00111111,368.11,768,25.1,3.09,397.8,367.51,0.0,0.0, , 
,368.72,800,96.0,-7.4,00111111,369.02,768,25.1,3.09,397.8,368.41,0.0,0.0, , 
,369.63,800,96.0,-7.8,00111111,369.93,768,25.1,3.09,397.8,369.32,0.0,0.0, , 
,370.49,800,96.0,-7.8,00111111,370.77,800,25.1,3.09,397.8,370.21,0.0,0.0, , 
,371.38,800,96.0,-7.8,00111111,371.66,800,25.1,3.09,397.8,371.07,0.0,0.0, , 
,372.23,800,96.0,-7.8,00111111,372.52,768,25.1,3.09,397.8,371.94,0.0,0.0, , 
,373.13,800,96.0,-7.8,00111111,373.43,800,25.1,3.09,397.8,372.81,0.0,0.0, , 
,374.04,800,94.5,-7.8,00111111,374.34,768,25.1,3.09,397.8,373.73,0.0,0.0, , 
,374.95,800,94.5,-7.8,00111111,375.24,768,25.1,3.09,397.8,374.65,0.0,0.0, , 
,375.84,800,94.5,-7.8,00111111,376.14,800,25.1,3.09,397.8,375.54,0.0,0.0, , 
,376.73,800,94.5,-8.2,00111111,377.03,768,25.1,3.09,397.8,376.44,0.0,0.0, , 
,377.65,800,94.5,-7.8,00111111,377.94,800,25.1,3.09,397.8,377.34,0.0,0.0, , 
,378.53,800,94.5,-7.4,00111111,378.82,800,25.1,3.09,397.8,378.23,0.0,0.0, , 
,379.43,800,94.5,-7.4,00111111,379.72,800,25.1,3.09,377.4,379.11,0.0,0.0, , 
,380.31,800,94.5,-7.4,00111111,380.61,800,25.1,3.09,377.4,380.02,0.0,0.0, , 
,381.20,800,94.5,-7.4,00111111,381.49,800,25.1,3.09,377.4,380.91,0.0,0.0, , 
,382.07,800,93.0,-7.4,00111111,382.36,800,25.1,3.09,377.4,381.79,0.0,0.0, , 
,382.96,800,94.5,-8.2,00111111,383.25,768,25.1,3.09,377.4,382.66,0.0,0.0, , 
,383.86,800,94.5,-8.2,00111111,384.17,800,25.1,3.09,377.4,383.57,0.0,0.0, , 
,384.77,800,94.5,-8.2,00111111,385.09,800,25.1,3.09,377.4,384.47,0.0,0.0, , 
,385.70,800,94.5,-8.2,00111111,386.02,800,23.5,3.09,377.4,385.39,0.0,0.0, , 
,386.62,768,93.0,-8.2,00111111,386.93,800,25.1,3.09,377.4,386.32,0.0,0.0, , 
,387.51,800,93.0,-8.6,00111111,387.81,800,25.1,3.09,377.4,387.22,0.0,0.0, , 
,388.42,800,93.0,-8.6,00111111,388.73,800,25.1,3.09,377.4,388.12,0.0,0.0, , 
,389.35,768,93.0,-9.0,00111111,389.64,800,23.5,3.09,377.4,389.05,0.0,0.0, , 
,390.25,768,93.0,-9.4,00111111,390.56,768,23.5,3.09,377.4,389.95,0.0,0.0, , 
,391.16,768,93.0,-9.4,00111111,391.45,768,25.1,3.09,377.4,390.86,0.0,0.0, , 
,392.05,768,93.0,-9.4,00111111,392.35,768,25.1,3.09,377.4,391.75,0.0,0.0, , 
,392.92,800,91.5,-9.4,00111111,393.22,800,25.1,3.09,377.4,392.63,0.0,0.0, , 
,393.82,800,91.5,-9.0,00111111,394.11,800,25.1,3.09,377.4,393.51,0.0,0.0, , 
,394.70,768,91.5,-8.6,00111111,394.99,768,25.1,3.09,397.8,394.41,0.0,0.0, , 
,395.58,800,91.5,-8.6,00111111,395.87,800,25.1,3.09,377.4,395.28,0.0,0.0, , 
,396.49,800,91.5,-8.6,00111111,396.78,768,25.1,3.09,377.4,396.19,0.0,0.0, , 
,397.37,800,91.5,-8.6,00111111,397.67,800,25.1,3.09,377.4,397.07,0.0,0.0, , 
,398.26,800,91.5,-9.0,00111111,398.57,800,23.5,3.09,377.4,397.96,0.0,0.0, , 
,399.17,800,91.5,-9.0,00111111,399.47,800,23.5,3.09,377.4,398.87,0.0,0.0, , 
,400.06,768,91.5,-9.4,00111111,400.37,768,25.1,3.09,377.4,399.77,0.0,0.0, , 
,401.00,800,91.5,-9.8,00111111,401.30,800,23.5,3.09,377.4,400.67,0.0,0.0, , 
,401.91,768,91.5,-9.8,00111111,402.22,800,25.1,3.09,377.4,401.61,0.0,0.0, , 
,402.83,768,91.5,-9.4,00111111,403.13,800,23.5,3.09,377.4,402.52,0.0,0.0, , 
,403.72,768,91.5,-9.4,00111111,404.02,768,23.5,3.09,377.4,403.43,0.0,0.0, , 
,404.62,800,91.5,-9.4,00111111,404.94,768,25.1,3.09,377.4,404.31,0.0,0.0, , 
,405.55,768,91.5,-9.4,00111111,405.84,768,25.1,3.09,377.4,405.25,0.0,0.0, , 
,406.47,800,91.5,-9.4,00111111,406.78,800,25.1,3.09,377.4,406.16,0.0,0.0, , 
,407.39,800,91.5,-9.0,00111111,407.69,800,25.1,3.09,377.4,407.08,0.0,0.0, , 
,408.29,768,93.0,-9.0,00111111,408.60,768,23.5,3.09,377.4,407.98,0.0,0.0, , 
,409.20,768,93.0,-8.6,00111111,409.50,768,23.5,3.09,377.4,408.90,0.0,0.0, , 
,410.11,800,93.0,-8.6,00111111,410.41,800,23.5,3.09,377.4,409.81,0.0,0.0, , 
,411.02,800,93.0,-8.6,00111111,411.32,800,23.5,3.09,377.4,410.72,0.0,0.0, , 
,411.92,800,93.0,-9.0,00111111,412.22,768,23.5,3.09,377.4,411.62,0.0,0.0, , 
,412.82,800,93.0,-9.0,00111111,413.11,800,23.5,3.09,377.4,412.52,0.0,0.0, , 
,413.71,768,93.0,-9.0,00111111,414.00,800,23.5,3.09,377.4,413.41,0.0,0.0, , 
,414.58,800,93.0,-8.6,00111111,414.87,800,23.5,3.09,377.4,414.30,0.0,0.0, , 
,415.46,768,93.0,-8.6,00111111,415.76,800,23.5,3.09,377.4,415.18,0.0,0.0, , 
,416.36,800,93.0,-8.6,00111111,416.66,768,25.1,3.09,377.4,416.06,0.0,0.0, , 
,417.25,800,93.0,-8.6,00111111,417.55,800,25.1,3.09,377.4,416.96,0.0,0.0, , 
,418.13,800,93.0,-8.6,00111111,418.42,800,25.1,3.09,377.4,417.84,0.0,0.0, , 
,419.03,768,93.0,-8.6,00111111,419.33,768,23.5,3.09,377.4,418.73,0.0,0.0, , 
,419.93,768,93.0,-8.6,00111111,420.22,768,23.5,3.09,377.4,419.63,0.0,0.0, , 
,420.87,800,93.0,-8.6,00111111,421.18,800,23.5,3.09,377.4,420.54,0.0,0.0, , 
,421.76,800,93.0,-8.6,00111111,422.07,800,23.5,3.09,377.4,421.47,0.0,0.0, , 
,422.68,768,93.0,-8.6,00111111,422.97,768,23.5,3.09,377.4,422.37,0.0,0.0, , 
,423.57,800,93.0,-9.0,00111111,423.86,768,25.1,3.09,377.4,423.27,0.0,0.0, , 
,424.44,768,94.5,-9.4,00111111,424.72,768,25.1,3.09,377.4,424.16,0.0,0.0, , 
,425.32,768,94.5,-9.4,00111111,425.61,768,25.1,3.09,377.4,425.02,0.0,0.0, , 
,426.23,768,94.5,-9.4,00111111,426.53,800,25.1,3.09,377.4,425.92,0.0,0.0, , 
,427.12,768,94.5,-9.0,00111111,427.43,768,25.1,3.09,377.4,426.83,0.0,0.0, , 
,428.01,768,94.5,-9.0,00111111,428.32,768,25.1,3.09,377.4,427.72,0.0,0.0, , 
,428.92,768,94.5,-9.0,00111111,429.22,768,23.5,3.09,377.4,428.61,0.0,0.0, , 
,429.81,768,94.5,-9.4,00111111,430.11,768,23.5,3.09,377.4,429.51,0.0,0.0, , 
,430.72,768,94.5,-9.8,00111111,431.02,768,23.5,3.09,377.4,430.42,0.0,0.0, , 
,431.61,768,94.5,-10.2,00111111,431.92,768,25.1,3.09,377.4,431.32,0.0,0.0, , 
,432.51,800,94.5,-10.2,00111111,432.79,800,23.5,3.09,377.4,432.21,0.0,0.0, , 
,433.36,800,94.5,-10.2,00111111,433.66,800,23.5,3.09,377.4,433.07,0.0,0.0, , 
,434.26,768,94.5,-10.2,00111111,434.57,800,23.5,3.09,377.4,433.95,0.0,0.0, , 
,435.16,800,94.5,-9.8,00111111,435.45,800,23.5,3.09,377.4,434.86,0.0,0.0, , 
,436.07,800,94.5,-9.8,00111111,436.36,768,23.5,3.09,377.4,435.76,0.0,0.0, , 
,436.96,800,94.5,-10.2,00111111,437.25,800,25.1,3.09,377.4,436.66,0.0,0.0, , 
,437.84,800,94.5,-9.8,00111111,438.14,800,25.1,3.09,377.4,437.54,0.0,0.0, , 
,438.74,768,94.5,-9.8,00111111,439.03,768,23.5,3.09,377.4,438.44,0.0,0.0, , 
,439.64,800,96.0,-9.8,00111111,439.93,768,25.1,3.09,377.4,439.34,0.0,0.0, , 
,440.53,800,94.5,-9.8,00111111,440.84,768,23.5,3.09,377.4,440.22,0.0,0.0, , 
,441.44,800,94.5,-10.2,00111111,441.73,800,23.5,3.09,377.4,441.15,0.0,0.0, , 
,442.33,800,94.5,-10.5,00111111,442.62,800,23.5,3.09,377.4,442.02,0.0,0.0, , 
,443.24,768,94.5,-10.5,00111111,443.53,800,23.5,3.09,377.4,442.94,0.0,0.0, , 
,444.14,768,94.5,-10.5,00111111,444.44,800,23.5,3.09,377.4,443.83,0.0,0.0, , 
,445.04,768,94.5,-10.5,00111111,445.35,800,23.5,3.09,377.4,444.73,0.0,0.0, , 
,445.94,768,94.5,-10.2,00111111,446.24,800,23.5,3.09,377.4,445.64,0.0,0.0, , 
,446.85,800,94.5,-10.2,00111111,447.15,800,25.1,3.09,377.4,446.54,0.0,0.0, , 
,447.75,800,94.5,-10.2,00111111,448.04,800,23.5,3.09,377.4,447.46,0.0,0.0, , 
,448.64,768,94.5,-10.2,00111111,448.94,768,23.5,3.09,377.4,448.34,0.0,0.0, , 
,449.54,768,94.5,-9.8,00111111,449.85,800,23.5,3.09,377.4,449.24,0.0,0.0, , 
,450.46,800,94.5,-9.4,00111111,450.76,800,25.1,3.09,377.4,450.16,0.0,0.0, , 
,451.37,800,94.5,-9.4,00111111,451.67,800,23.5,3.09,377.4,451.07,0.0,0.0, , 
,452.27,800,94.5,-9.4,00111111,452.57,800,23.5,3.09,377.4,451.97,0.0,0.0, , 
,453.18,768,94.5,-9.8,00111111,453.50,768,23.5,3.09,377.4,452.87,0.0,0.0, , 
,454.10,800,94.5,-10.2,00111111,454.39,800,23.5,3.09,377.4,453.81,0.0,0.0, , 
,455.00,768,94.5,-10.2,00111111,455.30,768,23.5,3.09,377.4,454.70,0.0,0.0, , 
,455.94,800,94.5,-10.2,00111111,456.25,800,23.5,3.09,377.4,455.62,0.0,0.0, , 
,456.85,800,94.5,-9.8,00111111,457.13,768,23.5,3.09,377.4,456.55,0.0,0.0, , 
,457.72,768,94.5,-9.8,00111111,458.02,768,25.1,3.09,377.4,457.43,0.0,0.0, , 
,458.63,768,94.5,-9.8,00111111,458.93,800,25.1,3.09,377.4,458.32,0.0,0.0, , 
,459.54,800,96.0,-9.4,00111111,459.81,800,25.1,3.09,377.4,459.23,0.0,0.0, , 
,460.42,800,96.0,-9.4,00111111,460.73,800,23.5,3.09,377.4,460.11,0.0,0.0, , 
,461.34,800,94.5,-9.4,00111111,461.65,768,25.1,3.09,397.8,461.04,0.0,0.0, , 
,462.25,800,96.0,-9.4,00111111,462.55,800,25.1,3.09,397.8,461.95,0.0,0.0, , 
,463.14,800,96.0,-8.6,00111111,463.45,800,25.1,3.09,397.8,462.85,0.0,0.0, , 
,464.05,768,96.0,-9.0,00111111,464.35,768,25.1,3.09,397.8,463.75,0.0,0.0, , 
,464.96,800,96.0,-9.4,00111111,465.26,768,25.1,3.09,397.8,464.65,0.0,0.0, , 
,465.86,768,96.0,-9.4,00111111,466.17,768,25.1,3.09,397.8,465.56,0.0,0.0, , 
