Sobota,29,Sierpieñ,2026,12:37:49:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'004
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Obroty silnika,Napiêcie,Temperatura,Temperatura
,226.17,800,55.5,1.6,10111110,226.47,800,35.3,5.15,459.0,225.86,832,13.74,55.5,25.5
,227.07,832,55.5,2.0,10111110,227.36,800,35.3,5.15,459.0,226.77,800,13.94,55.5,25.5
,227.95,832,55.5,2.3,10111110,228.26,800,35.3,5.15,459.0,227.66,832,13.84,55.5,25.5
,228.87,800,55.5,2.0,10111110,229.17,832,34.1,5.15,459.0,228.57,800,13.74,55.5,25.5
,229.79,832,55.5,1.6,10111110,230.10,800,34.1,4.12,459.0,229.48,832,13.84,55.5,25.5
,230.71,832,55.5,2.0,10111110,231.03,832,34.1,4.12,438.6,230.40,832,13.84,55.5,25.5
,231.64,800,55.5,1.2,10111110,231.92,800,34.1,4.12,459.0,231.34,800,13.84,55.5,25.5
,232.55,800,57.0,0.8,10111110,232.84,832,35.3,4.12,459.0,232.23,800,13.74,57.0,25.5
,233.44,832,57.0,1.2,10111110,233.75,832,34.1,4.12,459.0,233.14,800,13.74,57.0,25.5
,234.34,832,57.0,1.2,10111110,234.65,832,34.1,4.12,459.0,234.04,800,13.84,57.0,25.5
,235.26,800,57.0,0.8,10111110,235.55,800,35.3,5.15,459.0,234.95,800,13.84,57.0,25.5
,236.13,832,57.0,0.8,10111110,236.44,800,34.1,5.15,459.0,235.83,800,13.74,57.0,25.5
,237.03,800,57.0,1.2,10111110,237.34,832,34.1,4.12,459.0,236.73,800,13.84,57.0,25.5
,237.97,832,57.0,1.2,10111110,238.26,832,34.1,4.12,459.0,237.65,800,13.74,57.0,25.5
,238.87,800,57.0,0.4,10111110,239.16,800,34.1,4.12,459.0,238.57,832,13.84,57.0,25.5
,239.77,800,57.0,-0.4,10111110,240.06,800,35.3,4.12,459.0,239.46,800,13.74,57.0,25.5
,240.65,800,57.0,-0.4,10111110,240.96,832,35.3,4.12,459.0,240.36,800,13.74,57.0,25.5
,241.56,832,57.0,0.0,10111110,241.87,800,35.3,4.12,459.0,241.26,832,13.74,57.0,25.5
,242.47,800,57.0,0.0,10111110,242.75,800,35.3,4.12,459.0,242.17,832,13.74,57.0,25.5
,243.35,800,57.0,0.0,10111110,243.64,800,35.3,4.12,459.0,243.04,800,13.84,57.0,25.5
,244.25,800,57.0,0.4,10111110,244.53,800,35.3,5.15,459.0,243.94,800,13.74,57.0,25.5
,245.11,800,57.0,0.0,10111110,245.39,800,34.1,4.12,459.0,244.82,800,13.74,57.0,25.5
,245.97,800,57.0,0.0,10111110,246.27,800,35.3,4.12,459.0,245.69,800,13.74,57.0,25.5
,246.88,800,58.5,0.0,10111110,247.18,800,35.3,4.12,459.0,246.56,800,13.84,58.5,25.5
,247.81,832,58.5,-0.8,10111110,248.11,800,35.3,4.12,459.0,247.50,800,13.64,58.5,25.5
,248.75,960,58.5,-0.8,10101010,249.08,1120,36.9,5.15,459.0,248.42,800,13.64,58.5,25.5
,249.66,1024,58.5,0.8,10101010,249.98,928,40.0,5.15,479.4,249.39,1152,13.53,58.5,25.5
,250.63,992,58.5,0.0,10101010,250.95,1024,38.4,5.15,479.4,250.29,896,13.84,58.5,25.5
,251.50,992,58.5,-1.6,10101010,251.82,928,38.4,5.15,479.4,251.23,992,13.53,58.5,25.5
,252.46,736,58.5,0.0,10101010,252.75,800,51.8,8.24,612.0,252.13,864,13.53,58.5,27.0
,253.38,896,58.5,0.0,10111110,253.67,896,35.3,4.12,459.0,253.06,896,13.53,58.5,27.0
,254.28,896,58.5,-0.4,10111110,254.58,896,34.1,4.12,438.6,253.98,896,13.64,58.5,27.0
,255.20,864,58.5,-0.8,10111110,255.50,896,34.1,4.12,459.0,254.89,864,13.64,58.5,27.0
,256.13,768,58.5,-0.4,10111110,256.43,768,34.1,4.12,459.0,255.82,864,13.84,58.5,25.5
,257.06,736,58.5,-3.1,10101010,257.38,768,47.1,7.21,571.2,256.75,768,13.74,58.5,27.0
,258.08,1696,58.5,0.0,10101010,258.38,1600,36.9,5.15,459.0,257.75,1280,13.74,58.5,27.0
,259.09,1408,58.5,2.0,10101010,259.45,1376,45.9,6.18,550.8,258.75,1472,13.74,58.5,27.0
